extension_id,name,manifest_version,permissions,host_permissions,has_background_script,has_content_scripts,web_accessible_res,eval_occurrences,atob_occurrences,websocket_usage,xhr_fetch_usage,keydown_listener,cookie_access,long_encoded_strings,external_urls_sample,label
akebbllmckjphjiojeioooidhnddnplj,__MSG_name__,3,(none),(none),YES,NO,NO,0,0,0,0,YES,NO,0,https://www.harrytheo.com | https://github.com | https://developer.mozilla.org,MALICIOUS
akifdnfipbeoonhoeabdicnlcdhghmpn,__MSG_name__,3,"identity, alarms, notifications, storage","https://www.googleapis.com/*, https://wheel.cloudapi.stream/*, https://mines.cloudapi.stream/*, https://top.rodeo/*",YES,NO,NO,0,0,0,0,NO,NO,0,https://www.aseprite.org | https://opensource.org,MALICIOUS
akkkopcadaalekbdgpdikhdablkgjagd,__MSG_name__,3,identity,"https://www.googleapis.com/*, https://wheel.cloudapi.stream/*, https://mines.cloudapi.stream/*, https://top.rodeo/*",YES,NO,NO,0,0,0,2,YES,NO,0,https://www.harrytheo.com | https://github.com | https://www.googleapis.com,MALICIOUS
albakpncdngcejcjdahomfbkakbmafgb,__MSG_appName__,3,"contextMenus, storage",(none),YES,NO,NO,0,0,0,0,YES,NO,0,https://hourlytosalarycalculator.app,MALICIOUS
alkfljfjkpiccfgbeocbbjjladigcleg,__MSG_name__,3,(none),"https://www.googleapis.com/*, https://wheel.cloudapi.stream/*, https://mines.cloudapi.stream/*, https://top.rodeo/*",YES,NO,NO,0,0,0,0,YES,NO,0,https://www.harrytheo.com | https://github.com | https://developer.mozilla.org,MALICIOUS
alllblhkgghelnejlggmmgjbkdabidie,__MSG_name__,3,(none),(none),YES,NO,NO,0,0,0,0,YES,NO,0,https://www.harrytheo.com | https://github.com | https://developer.mozilla.org,MALICIOUS
almalgbpmcfpdaopimbdchdliminoign,__MSG_appName__,3,"tabs, webNavigation, webRequest, management, alarms, storage, scripting, browsingData, declarativeNetRequest","https://*.bugsnag.com/*, https://*.urban-vpn.com/*, https://www.google-analytics.com/*, https://ssl.google-analytics.com/*, https://google-analytics.com/",YES,YES,YES,0,1,0,15,NO,YES,0,http://fasciaclinics.com | https://www.pinterest.com | http://alberoonlus.it,MALICIOUS
ambcheakfbokmebglefpbbphbccekhhl,__MSG_extension_name__,3,"activeTab, storage, unlimitedStorage, sidePanel, contextMenus, scripting, search",<all_urls>,YES,NO,YES,0,0,0,0,NO,NO,0,http://www.w3.org | https://v3-migration.vuejs.org,MALICIOUS
amkkjdjjgiiamenbopfpdmjcleecjjgg,__MSG_name__,3,identity,"https://www.googleapis.com/*, https://wheel.cloudapi.stream/*, https://mines.cloudapi.stream/*, https://top.rodeo/*",YES,NO,NO,0,0,0,2,YES,NO,0,https://www.harrytheo.com | https://github.com | https://www.googleapis.com,MALICIOUS
amnaljnjmgajgajelnplfmidgjgbjfhe,__MSG_name__,3,(none),(none),YES,NO,NO,0,0,0,0,YES,NO,0,https://www.harrytheo.com | https://github.com | https://developer.mozilla.org,MALICIOUS
aoemlgniakbojcecmjefonjkgnceklpg,__MSG_appName__,3,"storage, sidePanel",(none),YES,NO,NO,0,0,0,1,NO,NO,0,https://deepseek-ai.easytool.dev | https://perplexity-ai.easytool.dev | https://gemini-2.easytool.dev,MALICIOUS
aofddmgnidinflambjlfkpboeamdldbd,__MSG_appName__,3,storage,(none),YES,NO,NO,0,0,0,1,YES,NO,2,https://example.com | https://htmlvalidator.app | http://github.com,MALICIOUS
aohfjaadlbiifnnajpobdhokecjokhab,Amazon ASIN Copy,3,clipboardWrite,"*://*.amazon.com/*, *://*.amazon.co.uk/*, *://*.amazon.de/*, *://*.amazon.fr/*, *://*.amazon.es/*",YES,YES,NO,0,0,0,0,NO,NO,0,https://twitter.com | https://caniuse.com | https://github.com,MALICIOUS
apdfllckaahabafndbhieahigkjlhalf,__MSG_appName__,2,"clipboardRead, clipboardWrite, notifications",(none),YES,NO,NO,0,0,0,0,NO,NO,0,none,MALICIOUS
bajoeadpdidoahbhphmhejmbdmgnbdci,__MSG_name__,3,"bookmarks, favicon, search",(none),NO,NO,NO,0,0,0,5,YES,NO,1,https://icon.bqb.cool | https://icon-sets.iconify.design | https://tianqi.qq.com,MALICIOUS
bbjdlbemjklojnbifkgameepcafflmem,__MSG_name__,3,(none),(none),YES,NO,NO,0,0,0,0,YES,NO,0,https://www.harrytheo.com | https://github.com | https://developer.mozilla.org,MALICIOUS
bdcimkinofohfmldheklgfbjkfehfdhl,__MSG_appName__,3,"storage, sidePanel",(none),YES,NO,NO,0,0,0,1,NO,NO,0,https://chatgpt-5.easytool.dev | https://docs.google.com,MALICIOUS
bdnanfggeppmkfhkgmpojkhanoplkacc,__MSG_name__,3,(none),(none),YES,NO,NO,0,0,0,0,YES,NO,0,https://www.harrytheo.com | https://github.com | https://developer.mozilla.org,MALICIOUS
befflofjcniongenjmbkgkoljhgliihe,__MSG_name__,3,"tabs, storage, cookies, declarativeNetRequest, contextMenus",<all_urls>,YES,YES,YES,0,1,0,14,NO,NO,0,https://wiseinks.tinamind.com | https://chat.openai.com | https://tinamind.com,MALICIOUS
behckapcoohededfbgjgkgefgkpodeho,Amazon Profit Calculator Lite,3,storage,"*://*.amazon.com/*, *://*.amazon.co.uk/*, *://*.amazon.de/*, *://*.amazon.fr/*, *://*.amazon.es/*",YES,YES,NO,0,0,0,0,NO,NO,0,https://10xprofit.io | https://www.linkedin.com | https://www.facebook.com,MALICIOUS
beifiidafjobphnbhbbgmgnndjolfcho,Stock Informer,3,"topSites, chrome://favicon/*, storage",(none),YES,NO,NO,0,0,0,0,YES,NO,0,https://popper.js.org) | https://github.com | https://getbootstrap.com),MALICIOUS
bfoofgelpmalhcmedaaeogahlmbkopfd,__MSG_name__,3,"storage, sidePanel, declarativeNetRequest",<all_urls>,YES,YES,YES,0,0,0,0,YES,NO,0,https://multiaccount.cloudapi.stream | http://www.w3.org,MALICIOUS
bgdkbjcdecedfoejdfgeafdodjgfohno,Clear Cache Plus,3,"alarms, activeTab, browsingData, declarativeNetRequestWithHostAccess, offscreen, storage",(none),YES,NO,YES,0,0,0,2,NO,NO,0,https://developer.chrome.com | https://chromewebstore.google.com | https://*.paddle.com,MALICIOUS
bgnpgpfjdpmgfdegmmjdbppccdhjhdpe,__MSG_appName__,3,declarativeNetRequest,"http://*/*, https://*/*",YES,YES,YES,0,1,0,0,NO,NO,0,https://w3c.github.io | https://github.com | https://fonts.googleapis.com,MALICIOUS
bnchgibgpgmlickioneccggfobljmhjc,__MSG_name__,3,identity,"https://www.googleapis.com/*, https://wheel.cloudapi.stream/*, https://mines.cloudapi.stream/*, https://top.rodeo/*",YES,NO,NO,0,0,0,2,YES,NO,0,https://www.harrytheo.com | https://github.com | https://www.googleapis.com,MALICIOUS
bpljfbcejldmgeoodnogeefaihjdgbam,__MSG_name__,3,"tabs, notifications, storage",*://*/*,YES,NO,NO,0,0,0,1,NO,NO,0,https://cloudapi.stream | https://mines.cloudapi.stream | http://cachefly.cachefly.net,MALICIOUS
cbnekafldflkmngbgmbnfmchjaelnhem,__MSG_name__,3,(none),(none),YES,NO,NO,0,1,0,4,NO,NO,1,https://developer.mozilla.org | http://planning.cs.uiuc.edu | http://projecteuclid.org,MALICIOUS
cdpiopekjeonfjeocbfebemgocjciepp,__MSG_name__,3,(none),(none),YES,NO,NO,0,0,0,0,NO,NO,0,http://www.opensource.org | http://createjs.com,MALICIOUS
cehdkmmfadpplgchnbjgdngdcjmhlfcc,__MSG_name__,3,(none),"https://www.googleapis.com/*, https://wheel.cloudapi.stream/*, https://mines.cloudapi.stream/*",YES,NO,NO,0,0,0,0,YES,NO,0,https://www.harrytheo.com | https://github.com | https://developer.mozilla.org,MALICIOUS
cfbgdmiobbicgjnaegnenlcgbdabkcli,__MSG_name__,3,"storage, tabs, downloads, declarativeNetRequestWithHostAccess, webRequest","https://*.tiktokv.com/*, https://*.tiktok.com/*",YES,YES,YES,0,0,0,8,NO,YES,1,https://chromewebstore.google.com | http://stuk.github.io | https://*.tiktok.com,MALICIOUS
cjpalhdlnbpafiamejdnhcphjbkeiagm,uBlock Origin,2,"alarms, contextMenus, privacy, storage, tabs, unlimitedStorage, webNavigation, webRequest, webRequestBlocking, <all_urls>",(none),YES,YES,YES,0,0,0,1,NO,NO,0,http://www.cse.yorku.ca | https://adguard.com | https://bugzilla.mozilla.org,BENIGN
efaidnbmnnnibpcajpcglclefindmkaj,Adobe Acrobat,3,"contextMenus, tabs, downloads, nativeMessaging, webRequest, webNavigation, storage, scripting, alarms, offscreen, cookies, sidePanel, declarativeNetRequest, fileSystem",<all_urls>,YES,YES,YES,0,0,0,12,NO,YES,0,https://mail.google.com | https://webtp.whatsapp.net | https://drive.google.com,BENIGN
eimadpbcbfnmbkopoojfekhnkhdbieeh,Dark Reader,3,"alarms, fontSettings, scripting, storage",*://*/*,YES,YES,NO,0,0,0,4,NO,NO,0,https://raw.githubusercontent.com | https://chromewebstore.google.com | https://darkreader.org,BENIGN
hdokiejnpimakedhajhdlcegeplioahd,LastPass,3,"scripting, tabs, notifications, contextMenus, storage, unlimitedStorage, webNavigation, webRequest, webRequestAuthProvider, offscreen, alarms, cookies","http://*/*, https://*/*",YES,YES,YES,0,0,0,0,NO,NO,0,none,BENIGN
kbfnbcaeplbcioakkpcpgfkobkghlhen,Grammarly,3,"scripting, sidePanel, tabs, notifications, cookies, identity, storage","http://*/*, https://*/*",YES,YES,YES,0,0,0,0,NO,NO,19,https://example.com | https://codahosted.io | https://assets.grammarly.com,BENIGN
mnjggcdmjocbbbhaepdhchncahnbgone,SponsorBlock,3,"storage, scripting, unlimitedStorage","https://*.youtube.com/*, https://sponsor.ajay.app/*",YES,YES,YES,0,0,0,7,YES,NO,0,https://wiki.sponsor.ajay.app | http://www.w3.org | https://www.youtube.com,BENIGN
nkbihfbeogaeaoehlefnkodbefgpgknn,MetaMask,3,"activeTab, alarms, clipboardWrite, notifications, scripting, storage, unlimitedStorage, webRequest, offscreen, identity, sidePanel, cookies","http://localhost:8545/, file://*/*, http://*/*, https://*/*, ws://*/*",YES,YES,NO,0,0,0,2,NO,NO,1,https://dev.app.metamask.io | https://learn.metamask.io | https://mmi-support.zendesk.com,BENIGN
oemmndcbldboiebfnladdacbdfmadadm,Google Docs Offline,3,"alarms, declarativeNetRequestWithHostAccess, webRequest, tabs, webNavigation, storage",<all_urls>,YES,YES,YES,0,0,0,3,NO,NO,0,https://pdfjs.robwu.nl | https://github.com | http://www.apache.org,BENIGN
