session_id,phase,label,request_count,iat_mean_ms,iat_cv,iat_bowley_skewness,iat_mad_ms,requests_per_hour,payload_size_mean,payload_size_std,http_post_ratio,url_path_entropy,request_burst_count
v7qok0dv5ekcaoefquadgka6me,1,0,220,1369.863,0.667383,-1.0,0.0,2640.0,676.35,797.8247,0.777273,4.098411,18
0p0kaqfmftrtfg0u12rkshrdi9,1,0,157,1352.5641,0.668683,-1.0,0.0,2678.673,679.2229,758.211,0.77707,4.076262,16
eb755astnc2v6cch658lgfrhfh,1,0,219,1321.1009,0.690719,-1.0,0.0,2737.5,688.3425,781.0084,0.780822,4.079164,21
gh9s7753br49h4c8g669fucshp,1,0,188,1465.2406,0.583143,-1.0,0.0,2470.073,659.6064,744.4957,0.81383,4.044052,13
aqn61ppbjkhm8841j1ofqp0u0a,1,0,254,1501.9763,0.554121,-1.0,0.0,2406.3158,757.0827,1289.7947,0.822835,4.075007,18
7f2bg9n48opuf4ligvtc1dsopr,1,0,228,1471.3656,0.575147,-1.0,0.0,2457.485,672.6623,814.8466,0.820175,4.059236,16
cupcde8stlaqucrpahgnsiv0b2,1,0,271,1411.1111,0.627011,-1.0,0.0,2560.6299,656.941,759.1514,0.800738,4.071147,22
r0e98rtqr6192k5b8gl4ndlmha,1,0,141,1307.1429,0.707666,-1.0,0.0,2773.7705,664.8723,664.9115,0.758865,4.097831,15
b3avd2j0387kff1fs4hseklo4t,1,0,303,1539.7351,0.532505,0.0,0.0,2345.8065,708.3828,1152.5006,0.851485,4.050452,20
49rbuft0lmtfjd3qn70np3lk51,1,0,286,1540.3509,0.531167,-1.0,0.0,2345.3303,612.8287,621.4955,0.856643,4.043115,19
26v7bi8e0oc7p58e3s9v8eic9f,1,0,317,1566.4557,0.507368,0.0,0.0,2305.4545,593.9937,565.9947,0.861199,4.015656,19
coom33f4pfor5m2sifo3jphip8,1,0,365,1596.1538,0.493262,0.0,0.0,2261.6179,673.8055,1784.4911,0.854795,4.024703,18
ml4tnn1lkctli3fofonrj629qm,1,0,266,1611.3208,0.474584,0.0,0.0,2242.623,616.515,686.7756,0.864662,4.010285,14
9ps9ql7hbv7pcbs8mjr50e0rt8,1,0,232,1588.7446,0.50028,0.0,0.0,2275.7493,651.9784,919.5474,0.857759,4.024631,16
75ufmqjcbcd722b8qt9sdvphdi,1,0,258,1470.8171,0.581553,-1.0,0.0,2457.1429,705.5271,1027.099,0.829457,4.065026,19
7el564n2rvpqj7hl5gn3b8uk8j,1,0,210,1363.6364,0.658192,-1.0,0.0,2652.6316,633.1238,636.3327,0.790476,4.092618,21
rfvugmk87jtlaiilouut5sdm32,1,0,284,1667.8445,0.428846,0.0,0.0,2166.1017,588.0845,584.2871,0.880282,3.99609,11
3uqepgd76f9ecnauehcl4sucbh,1,1,225,1290.1786,0.725283,-1.0,0.0,2802.7682,706.64,1034.9821,0.782222,4.108693,18
ck0vis16184tm6572eohin19d2,1,1,227,1632.7434,0.496497,0.0,0.0,2214.6341,590.9207,590.4676,0.881057,4.007823,13
pf7tnis955pq27n6sibk32d87k,1,1,204,1625.6158,0.591274,0.0,0.0,2225.4545,609.6373,572.6593,0.838235,4.047161,13
1ttvuqau08dh4t1cjg50pr2298,1,1,348,1706.0519,0.590371,0.0,0.0,2116.2162,575.2356,526.2006,0.887931,4.003552,20
bdnrcfsa6rd1fuorjjjmi0o20s,1,1,261,1634.6154,0.641948,0.0,0.0,2210.8235,664.4483,854.6998,0.831418,4.056546,19
k0371k7nj5dqmfg9fllmll59sn,1,1,100,1272.7273,0.826845,-1.0,1000.0,2857.1429,592.5,427.7045,0.79,4.101504,15
16r8lv9fabgjk06di8usnmu9ni,1,1,273,1584.5588,0.56764,0.0,0.0,2280.2784,586.022,474.3024,0.831502,4.05323,20
7428dqv0aoerlt7uj52th5qac2,1,1,159,1626.5823,0.55544,0.0,0.0,2227.2374,611.8553,596.8813,0.842767,4.036815,10
8srapvmong540puc7nb8gttr9s,1,1,263,1610.687,0.61165,-1.0,0.0,2243.6019,585.4487,485.4867,0.828897,4.059544,20
qqvn22bkui88d086v1pnp37cus,1,1,230,1576.4192,0.549622,0.0,0.0,2293.6288,622.2087,613.6278,0.847826,4.036508,15
bhgacl77180d93ov5a5fbbau9v,1,1,260,1559.8456,0.540092,-1.0,0.0,2316.8317,615.3923,607.0495,0.823077,4.042978,15
7fk29hdm43m3g5jcsn40ilqq72,1,1,172,1216.3743,0.782695,-1.0,0.0,2976.9231,606.564,441.5084,0.738372,4.098424,14
aj9b410e48gia1a4u0s5e0on3v,1,1,145,1118.0556,0.872378,-1.0,0.0,3242.236,662.8,642.192,0.744828,4.124182,14
v6g56j1moj87j95r7n37hjcjqa,1,1,318,1624.6057,0.496594,0.0,0.0,2222.9126,595.6572,568.7997,0.842767,4.030405,18
7gce60ae3b26e071uuothvl8ov,1,1,302,1634.5515,0.510766,0.0,0.0,2209.7561,617.4172,634.8334,0.857616,4.029371,20
tdm49rlqprtglqndl74j4cekj0,1,1,193,1583.3333,0.544425,-1.0,0.0,2285.5263,587.8083,531.2836,0.849741,4.032655,13
65jksu5rbgasntdo5kcspn140b,1,1,212,1521.327,0.580661,-1.0,0.0,2377.5701,584.033,480.1446,0.811321,4.050536,15
3ctnavj7r6jrdpq5q0n8s7s4l1,1,1,214,1615.0235,0.684666,-1.0,0.0,2239.5349,672.9206,723.8656,0.808411,4.068185,17
pmb5bepkpun1v95n8rveof9ee0,1,1,323,1645.9627,0.508581,0.0,0.0,2193.9623,620.9164,682.0714,0.866873,4.017878,19
pvkqfvdopap7c1e9hrdeakkq8u,1,1,187,1569.8925,0.555766,0.0,0.0,2305.4795,648.5294,859.8841,0.839572,4.058881,11
c4jthmvc4kk57hh14pugnmmj9j,1,1,322,1619.9377,0.49886,0.0,0.0,2229.2308,596.028,582.6368,0.86646,4.02377,18
trga4mrvjvogdgoi9vrqkmi92j,1,1,223,1603.6036,0.517891,0.0,0.0,2255.0562,615.8834,627.7915,0.852018,4.030374,14
m53jq0p03vjq9ggef5fqamii89,1,1,122,1429.7521,0.712743,-1.0,0.0,2538.7283,616.0984,439.1692,0.762295,4.107438,12
4j64bd6drdkbib7sfpaue62poi,1,1,304,1630.363,0.51619,0.0,0.0,2215.3846,657.2303,854.7397,0.848684,4.045875,21
9hdhd3r1imn0bdlevf1s4g2ks4,1,1,160,1509.434,0.676387,-1.0,0.0,2400.0,603.5938,479.699,0.78125,4.091713,15
uojjl06k7ee9lk3pc48ppaan0a,1,1,175,1678.1609,0.522886,0.0,0.0,2157.5342,606.7086,603.0823,0.845714,4.040526,11
as0na0kr8o0gfoe8do6a6cjsfi,1,1,220,1552.5114,0.606467,-1.0,0.0,2329.4118,672.8545,881.4538,0.818182,4.077819,17
ebnjc41jpisf779951hm4okh7p,1,1,130,1457.3643,0.667336,-1.0,0.0,2489.3617,592.8538,547.7257,0.853846,4.036167,13
m01ltdunc7d4tjuh0r8opr8c3k,1,1,215,1677.5701,0.455131,0.0,0.0,2155.9889,595.986,608.648,0.874419,4.019354,12
v3hbnujku5f0bm2mmbjqrr9rg8,1,1,329,1685.9756,0.495225,0.0,0.0,2141.7722,581.6839,543.5039,0.87538,4.021558,19
20054o9vd2q32sqnc3g6kj17om,1,1,268,1591.7603,0.516544,0.0,0.0,2270.1176,612.1007,599.1232,0.828358,4.034122,15
lu2vabqtd7mhjirluaij1a6qcg,1,1,180,1608.9385,0.54696,0.0,0.0,2250.0,584.3444,497.3458,0.85,4.041159,12
j09afvs25gdij4vebr11kt9gpr,1,1,156,1535.4839,0.550019,-1.0,0.0,2359.6639,597.7179,515.4261,0.833333,4.051894,10
mld2vskicvoo3bvkk0fnjtuv7u,1,1,211,1638.0952,0.495757,0.0,0.0,2208.1395,599.3791,573.4615,0.862559,4.022345,11
mk7jdh4qi5dkquenuvef8qk855,1,1,247,1569.1057,0.514495,-1.0,0.0,2303.6269,633.3401,806.243,0.834008,4.035238,15
g2gh9qmk9krld14h5uojlg7g10,1,0,212,1592.4171,0.498474,-1.0,0.0,2271.4286,627.1368,682.473,0.863208,4.045697,12
kaodsjbnqm7umgfvao63d3rihb,1,0,298,1629.6296,0.463243,0.0,0.0,2216.5289,682.2517,1084.711,0.879195,4.031712,15
1aqgqrcuurlmvvbbpirvsh7e53,1,0,206,1517.0732,0.54704,-1.0,0.0,2384.5659,623.5874,655.4206,0.84466,4.053682,14
igbeqcjnbst8afmoi4sg6tn669,1,0,188,1438.5027,0.601588,-1.0,0.0,2515.9851,961.5904,3321.0337,0.792553,4.061008,13
vopb1c4o3o2dpsov8jinbbou5h,1,0,348,1576.3689,0.51051,0.0,0.0,2290.3108,629.158,728.3354,0.850575,4.01883,18
mlrcehe439iiene6e485tni66i,1,0,204,1418.7192,0.63626,-1.0,0.0,2550.0,844.0049,1420.6527,0.794118,4.095419,18
ss0e28413uif2hd88q186t7tj8,1,0,284,1558.3039,0.522743,0.0,0.0,2318.3673,709.2993,1175.1464,0.838028,4.045149,16
i49goovgc8d214dbipv8o6504l,1,0,272,1538.7454,0.525722,-1.0,0.0,2348.2014,631.0625,715.0521,0.830882,4.047626,16
8ikvavmgf5jc51c5goirm6gd5i,1,0,186,1329.7297,0.688109,-1.0,0.0,2721.9512,831.328,1392.9163,0.77957,4.114766,18
euj4q1fvb0h7sgca0ngnkb88gs,1,0,150,1302.0134,0.710219,-1.0,0.0,2783.5052,713.8333,821.5499,0.76,4.085107,16
0oa2dua3mli7mrr32c0gd4o0i2,1,0,119,1372.8814,0.641738,-1.0,0.0,2644.4444,723.2269,883.4208,0.781513,4.06643,9
nkoa2dl20gbqn2vrse8rol2vr6,1,0,137,1352.9412,0.655787,-1.0,0.0,2680.4348,682.3869,735.0417,0.788321,4.100392,12
7jbhkuigmbeo5m7ei6h4eefrmk,1,0,143,1352.1127,0.66959,-1.0,0.0,2681.25,672.8392,740.9131,0.762238,4.100791,11
ognvhdn35j9b11cnclf6ej5gsj,1,0,206,1414.6341,0.631797,-1.0,0.0,2557.2414,821.0631,1421.8019,0.791262,4.106678,14
dpo8vpnhg6ca53pj9di78t9513,1,0,171,1547.0588,0.520246,-1.0,0.0,2340.6844,664.1228,830.9518,0.836257,4.027778,11
vtcjrbtjq57mnai4banl61pd25,1,1,371,1724.3243,0.520357,0.0,0.0,2093.4169,594.5418,618.0725,0.894879,3.997618,21
071tbv7fsev5d64kb0f9jieor6,1,1,401,1700.0,0.449913,0.0,0.0,2122.9412,605.3267,709.2106,0.885287,4.016521,20
6ntd0tthl2oaq1l21tho6bflst,1,1,221,1645.4545,0.553287,0.0,0.0,2197.7901,624.7964,645.1295,0.841629,4.0434,14
imgld2d8lq8ugjvfur481ofr2n,1,1,141,1292.8571,0.713093,-1.0,0.0,2804.4199,629.4255,572.2481,0.780142,4.097396,12
htodnmm7tjpihgeuqk64c0gjes,1,1,218,1456.2212,0.607513,-1.0,0.0,2483.5443,651.578,702.423,0.830275,4.067025,15
0i5kvpslrq3vb6u8ff2kuejv0v,1,1,283,1648.9362,0.495488,0.0,0.0,2190.9677,628.2473,784.2401,0.858657,4.039126,17
69pb8jcum0600139r70m1aqbrf,1,1,239,1605.042,0.505825,0.0,0.0,2252.356,613.2929,799.9852,0.891213,4.00664,17
656v65u3buefq447rk141pj08c,1,1,214,1633.8028,0.536149,0.0,0.0,2213.7931,614.1495,631.7418,0.85514,4.027582,12
q80o426gl01opbf2ve05c36c4u,1,1,225,1352.6786,0.668453,-1.0,0.0,2673.2673,636.0711,599.2986,0.777778,4.071858,16
j732r4nonn5d5q37e9u2g9hr11,1,1,203,1311.8812,0.714245,-1.0,0.0,2757.7358,669.7833,831.4061,0.738916,4.110329,18
1afcff96kgdbmevi5aemi5mkuj,1,1,261,1634.6154,0.515047,0.0,0.0,2210.8235,636.9195,824.2946,0.869732,4.03232,16
mc9vvj20cc427d1vhl9aah593q,1,1,265,1640.1515,0.537025,0.0,0.0,2203.2333,583.4943,545.2005,0.860377,4.031246,18
a511chc13vi6tde0dr4780cr9n,1,1,216,1613.9535,0.568432,0.0,0.0,2240.9222,662.0602,855.0713,0.833333,4.065597,16
iae9nd0n4lmdfntp4ib72dt4fh,1,1,201,1610.0,0.607903,-1.0,0.0,2247.205,598.1194,479.029,0.825871,4.070577,15
icjl2m9q6satjga38pfqqnmjl8,1,1,146,1406.8966,0.710767,-1.0,0.0,2576.4706,605.7671,501.998,0.787671,4.085014,16
7onurvslijk8fm97iohvhcoq52,1,1,118,777.7778,1.213477,1.0,0.0,4668.1319,803.2797,838.8906,0.627119,4.195751,16
dplgo3sid3ccoh1p28kt7oal82,1,1,54,471.6981,1.626776,1.0,0.0,7776.0,840.5926,791.1426,0.518519,4.268599,7
t8f9bu34vogoj5kisdk61hp83n,1,1,87,593.0233,1.46325,1.0,0.0,6141.1765,828.4023,832.2096,0.563218,4.228361,14
lbpk1okd4btot9vqfjpsv2vl9n,1,1,82,839.5062,1.14555,1.0,0.0,4341.1765,853.7073,913.2178,0.609756,4.197439,11
heooocaj90nj4usab96vr0t8bo,1,1,128,897.6378,1.063178,1.0,0.0,4042.1053,782.9141,822.4418,0.617188,4.157457,16
fsjvbae9a6rr1ka25ldsvbdtuu,1,1,143,1352.1127,0.686631,-1.0,0.0,2681.25,771.6783,1207.2111,0.706294,4.139102,13
tgjeh5ae9h3v4vmds3oemkq48n,1,1,128,1425.1969,0.650152,-1.0,0.0,2545.8564,672.9531,704.7043,0.789062,4.078005,12
v23rfeffhu8tnkj029mv5angtg,1,1,114,1398.2301,0.770282,-1.0,0.0,2597.4684,730.8684,799.117,0.72807,4.108144,11
rdrkop6n2o5qgtbpm4o4as05mu,1,1,82,1185.1852,0.929129,-1.0,1000.0,3075.0,764.4268,783.526,0.658537,4.16376,9
s22ulplav9a7svordh7cc4olt7,1,1,169,1285.7143,0.715783,-1.0,0.0,2816.6667,697.0828,698.7766,0.692308,4.118271,17
qe370ks533bvqh8n9ra33968bn,1,1,155,1272.7273,0.927393,-1.0,0.0,2846.9388,771.7032,1008.0892,0.677419,4.14735,15
tr5fbeta11pirki760fvndcfmb,1,1,152,1397.351,0.723087,-1.0,0.0,2593.3649,713.7632,735.5838,0.736842,4.122641,16
b29vltsdmop45jv4bjp64gc73o,1,1,151,1393.3333,0.64138,-1.0,0.0,2600.9569,653.1258,635.3359,0.754967,4.093617,14
smjle8311adgengdcgqfh70ua0,1,1,121,1375.0,0.727651,-1.0,0.0,2640.0,737.314,1025.9343,0.719008,4.125107,13
aukl3llmaggljgm2dv21pgl802,1,1,231,1373.913,0.688566,-1.0,0.0,2631.6456,682.6883,839.1772,0.731602,4.101208,19
sq6gghu3613fgq6t6h9bcr80ie,1,1,137,1433.8235,0.726089,-1.0,0.0,2529.2308,666.7299,643.7355,0.751825,4.112748,14
l281lufhl0p948rr5o7mq7rhoi,1,1,101,1180.0,0.824955,-0.5,500.0,3081.3559,751.2574,790.3647,0.663366,4.137589,12
7viehtkjnmi6q1dque68cpudao,1,1,151,1460.0,0.640719,-1.0,0.0,2482.1918,623.0,496.649,0.754967,4.09059,12
m1e1mgb7hbmqovglk2rp4f7en9,1,1,128,1275.5906,0.740638,-1.0,0.0,2844.4444,726.2422,966.3658,0.703125,4.136394,12
ntq39vmdijl66047lvvr8qeuh8,1,1,106,1171.4286,0.811625,-1.0,0.0,3102.439,697.5472,661.3431,0.679245,4.132384,11
h9gaeo351pqnmpu055ot9s5mtd,1,1,93,1021.7391,0.978492,0.0,1000.0,3561.7021,803.6129,845.9007,0.634409,4.16116,10
f9gd6pgmkcgvpb3lfnmr1rp86k,1,1,117,758.6207,1.231474,1.0,0.0,4786.3636,859.4103,910.2301,0.555556,4.1998,15
1u41k0lehrsbt97q0pe4knpa6c,1,1,85,511.9048,1.609027,1.0,0.0,7116.2791,971.4588,1052.8827,0.517647,4.258373,10
f76c77gidobkhj3onqhf4s3n4d,1,1,65,515.625,1.607775,1.0,0.0,7090.9091,822.2308,811.1626,0.538462,4.248388,8
0ogg5l1i4nh37ek8mjpn8q9fc0,1,1,49,520.8333,1.567163,1.0,0.0,7056.0,924.2041,973.187,0.510204,4.259089,8
9cuovso04bhmsmeovv59e513qh,1,1,130,860.4651,1.118497,1.0,0.0,4216.2162,1016.0308,2807.1933,0.592308,4.176014,14
sd8qtd5qblkhbiq3el51h7p58q,1,1,152,1231.7881,0.77296,-1.0,0.0,2941.9355,708.1711,702.6286,0.697368,4.124321,15
0pcr6mashfodserb90cq3p04uf,1,1,194,1450.7772,0.62717,-1.0,0.0,2494.2857,639.2887,621.345,0.768041,4.080908,16
3qfgfasvf42im2b2pba7hlhvdq,1,1,130,1379.845,0.658143,-1.0,0.0,2629.2135,616.0846,509.2549,0.761538,4.085879,10
eoj0v25cg7p78ojpr26s9tea94,1,1,166,1309.0909,0.782722,-1.0,0.0,2766.6667,738.1145,779.428,0.716867,4.127267,18
os9be9s5er1ud8569gm26htp0j,1,1,125,1274.1935,0.767782,-1.0,0.0,2848.1013,773.96,858.4343,0.68,4.124123,12
uk2rt8k37hf4v8sogabdk01tua,1,1,168,1407.1856,0.669696,-1.0,0.0,2573.617,725.0179,974.3577,0.738095,4.098514,14
vllcsfvm4m4b6559eckqpg3mvq,1,1,174,1416.185,0.621535,-1.0,0.0,2556.7347,644.8621,829.8184,0.781609,4.082645,13
tes9ba915l9f7e3i12vdgj7bte,1,1,151,1393.3333,0.652001,-1.0,0.0,2600.9569,717.0927,983.4202,0.748344,4.100463,13
77ac9gmq9m61tv68pqdpg1holt,1,1,128,1322.8346,0.798684,-1.0,0.0,2742.8571,774.5859,1066.0661,0.710938,4.142217,14
jfmilo33fin84baeh3k6bcnh3v,1,1,148,1231.2925,0.764151,-1.0,0.0,2943.6464,721.0608,737.1002,0.689189,4.126522,16
6gftqgk6qqkipsecbrvk0mtr5h,1,1,135,1320.8955,0.972687,-1.0,0.0,2745.7627,721.7704,791.7977,0.725926,4.113514,16
84q2klr0foifmc69684fjvafqa,1,1,162,1254.6584,0.795937,-1.0,0.0,2887.1287,679.5988,636.4782,0.709877,4.121585,17
scep2a1a2l1tjoc5dqlche5mqq,1,1,93,1315.2174,0.930734,-1.0,1000.0,2766.9421,752.4194,761.9929,0.655914,4.16622,11
qg5jilensjo45f7koo4cvrouqn,1,1,154,1065.3595,0.951889,0.0,1000.0,3401.227,826.461,1071.0828,0.636364,4.166594,17
kd4h7t2e50hpl0uv1pdbcsoe4n,1,1,142,1390.0709,0.684206,-1.0,0.0,2608.1633,665.8873,661.9986,0.746479,4.107346,13
sjr20ddno9sftolk2ofmqoskmf,1,1,181,1488.8889,0.606914,-1.0,0.0,2431.3433,629.326,603.1339,0.80663,4.071653,13
5hv5h86d5hnph965gtsjskmtu0,1,1,111,1363.6364,0.661312,-1.0,0.0,2664.0,698.7027,676.9048,0.693694,4.125519,10
2s8fa1s8oe1rqsf0ddm7m9q7da,1,1,179,1308.9888,0.728818,-1.0,0.0,2765.6652,715.1732,803.7883,0.776536,4.103981,17
qb9nte3m02m5iennt4e7mg7caf,1,1,205,1382.3529,0.664589,-1.0,0.0,2617.0213,687.8732,865.4039,0.741463,4.096844,18
0ht0u328t4mkgi01sp7mm07e01,1,1,109,1314.8148,0.729273,-1.0,0.0,2763.3803,708.5505,729.6026,0.743119,4.11678,11
r4qbc8d0f23m1oi2jeplnl7k3q,1,1,93,1119.5652,0.862003,-1.0,0.0,3250.4854,776.3763,862.5732,0.677419,4.146512,10
dne20ji4gjh7i5k19nueps0biu,1,1,134,766.9173,1.237393,1.0,0.0,4729.4118,819.2985,840.1558,0.567164,4.193188,16
u89p7qigo3rvvgm0vgs06hk8sc,1,1,84,638.5542,1.366069,1.0,0.0,5705.6604,844.5714,824.0422,0.547619,4.211051,11
0sejj3er3n0v1sfjv2jbnhaav4,1,1,97,927.0833,1.035599,0.5,500.0,3923.5955,692.299,551.2709,0.649485,4.158545,12
koftcfkosigp4f2ibgfi0dm0co,2,0,4193,384.0649,1.266383,1.0,0.0,9375.6522,433.0351,166.447,0.991414,3.900445,537
89vshcu5jgp79ebb68f7jjkqc5,2,0,4433,335.9657,1.411555,1.0,0.0,10717.7972,426.9143,124.9551,0.994586,3.896439,494
cmtn6a23es1vk1v038j2pd0cqa,2,0,5705,1249.6494,55.026312,1.0,0.0,2881.3131,438.525,192.7413,0.98773,3.910013,637
8is1s1cv7tu0c13vcqka04ck8m,2,0,7777,702.4177,53.289126,1.0,0.0,5125.8147,430.4017,372.1423,0.995371,3.893104,720
ad9scp2lb57iibuqakamfu5hjg,2,0,2501,4900.0,39.873699,0.0,0.0,734.9878,430.3762,150.1985,0.992003,3.897703,823
7a9emfkn0ri8ntg4k0uotsi07v,2,0,2652,22237.269,49.536217,0.0,0.0,161.9515,444.2357,284.3313,0.987179,3.906307,739
oq11t11ns4t2gj9cdnl10da80s,2,0,3963,4096.416,48.414429,0.0,0.0,879.0388,432.2682,167.1492,0.991925,3.896675,1222
gt6ccjle54o9oqntbbt3vci5pa,2,0,1196,962.3431,0.260855,0.0,0.0,3744.0,451.7007,221.6525,0.978261,3.915226,378
q9ebqjoa4ni6shhp702u8eg2v2,2,0,1240,5422.9217,28.296688,0.0,0.0,664.3846,452.7056,255.7114,0.971774,3.919181,387
p7g6ccuqqfum0pbfk5q82nhnam,2,0,1568,960.434,0.26765,0.0,0.0,3750.6977,470.162,328.6787,0.970026,3.934224,498
j8e0t5t4nnr92fupp8rh18ihkq,2,0,1415,969.5898,0.324171,0.0,0.0,3715.5361,450.5378,247.9379,0.983039,3.911973,444
fhob1hm9t3bm6ea9fm9fppec77,2,0,2494,2449.2579,29.996365,0.0,0.0,1470.4225,448.8079,242.1381,0.981556,3.919629,810
m1rt858554qvald7e7pmrm1d8b,2,0,3589,1667.5028,36.241803,-1.0,0.0,2159.5186,446.2901,270.8366,0.985511,3.911435,787
4m80gpjmc7m39n63ksnr40i6fo,2,0,1048,1010.5062,0.916937,0.0,0.0,3565.9735,461.4237,404.7622,0.979008,3.915788,336
2ing4ldnnd40og2ej20qnsesbb,2,0,1684,767.6768,0.580441,0.0,0.0,4692.2601,454.3236,289.9064,0.976841,3.919612,424
sfhla3ba8au3uncr3k687c8e55,2,0,1808,4405.6447,24.499021,0.0,0.0,817.5857,489.7279,387.6334,0.959624,3.951845,557
p5keafiscisucgq2tut00s0s7l,2,0,912,974.753,0.181198,0.0,0.0,3697.2973,441.9759,206.7261,0.98136,3.914547,295
03jt2p4bdru20sjb9me2gco6j4,2,0,897,984.375,0.191325,0.0,0.0,3661.2245,443.7347,261.4991,0.989967,3.898057,293
i6io829o6v8o8r5bo6tgoc903p,2,0,3263,2129.675,35.036137,0.0,0.0,1690.9169,428.6065,136.6254,0.992032,3.898485,882
36rja5utab0pakj5136bi7rkop,2,0,2189,2632.0841,30.69624,0.0,0.0,1368.3626,454.3636,268.76,0.977159,3.918272,638
1hv0rajig2vijia10tvjvhq12e,2,0,795,12119.6474,25.898304,0.0,0.0,297.4124,459.6013,306.2905,0.973585,3.919572,228
3dlhqa29pdkpur5c0fh3a1gcga,2,0,960,939.5203,0.262865,0.0,0.0,3835.7381,491.925,375.0111,0.954167,3.950388,300
ibf972u5q4vlvvev54goetuber,2,0,992,914.2281,0.3291,0.0,0.0,3941.7219,536.9819,572.8264,0.94254,3.970868,301
n4sa8kulckaa6rohru1vnq336n,2,0,2240,987.0478,0.419907,0.0,0.0,3648.8688,435.7848,244.3132,0.992411,3.901716,722
d0fqf9div7sivpkmojq2vkl5rj,2,0,1388,980.5335,0.342548,0.0,0.0,3674.1176,443.7579,235.912,0.98415,3.910017,441
cqifhegb8rual6rgoa4kp17cgp,2,0,984,985.7579,0.204126,0.0,0.0,3655.7276,460.747,320.9662,0.980691,3.921401,319
1j8bfg4kkf15a9oj1igr147ol2,2,0,1816,1276.0331,11.357399,0.0,0.0,2822.7979,457.9774,335.7081,0.978524,3.920457,471
dathp4f9v59rcb8gv8qr01htqg,2,0,2608,360.5677,1.383844,1.0,0.0,9988.0851,437.6254,194.2192,0.98773,3.90504,311
h6kek9u7g8sjqhdu2jr9fg6s5h,2,0,2534,369.5223,1.312838,1.0,0.0,9746.1538,443.6113,267.9614,0.987372,3.916511,312
vofhhjsbkpj6kc9it95e76nu1a,2,0,4354,4702.2743,32.630423,0.0,0.0,765.7629,587.5324,882.0142,0.918695,3.985654,1259
f8mmn03rdoojfjb50ma70ii8pg,2,0,1195,1001.675,0.70296,0.0,0.0,3596.99,460.9096,319.9407,0.977406,3.918115,381
6rm870g54tcodidn4igk93cg9t,2,0,1296,996.9112,0.130707,0.0,0.0,3613.9427,452.848,876.6812,0.994599,3.895487,427
1mvlnshabcf3gbr9subps50a00,2,0,1135,973.545,0.213968,0.0,0.0,3701.087,458.4308,305.5106,0.977093,3.912368,361
