timestamp,host,label,score,verdict,request_count,iat_mean_ms,iat_cv,iat_bowley_skewness,iat_mad_ms,requests_per_hour,payload_size_mean,payload_size_std,http_post_ratio,avg_idle_time_ms,user_active_ratio,background_tab_ratio,extension_origin_ratio,url_path_entropy,request_burst_count
,ctu-20110817,1,1.0,BEACON,47.0,35676.877229110054,0.0,0.0,0.0,103.09929442378413,298.8085106382979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,ctu-20110815,1,1.0,BEACON,48.0,491.97740757719,0.0,0.0,0.0,7473.09874001481,823.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-443,0,0.0,SAFE,46.0,2225.556356,4.7179214184769895,0.0,0.0,1653.5191260440486,164.9130435,351.4920779,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-53,0,0.0,SAFE,4.0,12.16833333,1.7150511433269555,0.0,0.0,394466.5114367894,77.0,21.36117974,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-53,0,0.0,SAFE,4.0,34.89866667,1.731901914807452,0.0,0.0,137541.07129212195,53.75,16.43167673,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-53,0,0.0,SAFE,4.0,0.05666666667,1.6250951527867592,0.0,0.0,84705882.35294117,82.25,33.95879857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-53,0,0.0,SAFE,4.0,0.075,1.6396747644986667,0.0,0.0,64000000.0,143.0,101.876395696,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,ctu-20110810,1,1.0,BEACON,3.0,4506.626129150391,0.0,0.0,0.0,1198.2356302136898,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-53,0,0.0,SAFE,4.0,0.08133333333000001,1.2207681155418346,0.0,0.0,59016393.44262296,126.25,87.6356092,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-50075,0,0.0,SAFE,3.0,1.1895,1.4106468196721311,0.0,0.0,4539722.572509457,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-53,0,0.0,SAFE,4.0,8.729,1.7224272012830795,0.0,0.0,549891.167373124,128.5,44.91324972,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-443,0,0.0,SAFE,3.0,2.6125,1.4050110243062202,0.0,0.0,2066985.6459330146,10.33333333,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-53,0,0.0,SAFE,4.0,0.0626666666667,1.0881917961648466,0.0,0.0,76595744.68085107,83.0,8.7635609201,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-53,0,0.0,SAFE,4.0,23.271,1.728478187622878,0.0,0.0,206265.30875338402,68.5,20.2657346277,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-53,0,0.0,SAFE,6.0,12.144200000000001,1.369106999754813,0.0,0.0,355725.36684178456,68.0,44.8914033556,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-3306,0,0.0,SAFE,4.0,0.03166666667,0.8673198760139663,0.0,0.0,151578947.36842105,4.5,2.19089023,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-443,0,0.0,SAFE,23.0,18.4017727272727,2.8043647725717373,0.0,0.0,204525.7497424902,297.6956521739,516.161878818,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,ctu-20110817,1,1.0,BEACON,53.0,102.93801931234506,0.0,0.0,0.0,35645.04926112104,811.2830188679245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,ctu-20110815,1,1.0,BEACON,6.0,261.4988088607788,0.0,0.0,0.0,16520.15173155131,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-53,0,0.0,SAFE,4.0,0.08233333333000001,1.2496750057186103,0.0,0.0,58299595.14170041,89.25,38.88830158,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,ctu-20110817,1,1.0,BEACON,3.0,4506.503105163574,0.0,0.0,0.0,1198.2683411030278,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,ctu-20110811,1,1.0,BEACON,3.0,4514.35661315918,0.0,0.0,0.0,1196.1837450455737,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,ctu-20110817,1,1.0,BEACON,6.0,200.2537965774536,0.0,0.0,0.0,21572.624708411568,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,ctu-20110817,1,1.0,BEACON,6.0,264.4418001174927,0.0,0.0,0.0,16336.29780950139,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-443,0,0.0,SAFE,31.0,2034.6388670000001,1.9977480534387138,0.0,0.0,1828.334286218786,211.0645161,436.2426806,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,ctu-20110817,1,1.0,BEACON,25.0,61.48537496725718,0.0,0.0,0.0,60990.1135350803,477.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,ctu-20110817,1,1.0,BEACON,50.0,38.536100971455475,0.0,0.0,0.0,95325.40384602272,511.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-443,0,0.0,SAFE,3.0,4512.9585,0.47091692134993046,0.0,0.0,1196.5543224029204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-50466,0,0.0,SAFE,3.0,0.024,1.2963624320833333,0.0,0.0,225000000.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-57673,0,0.0,SAFE,5.0,63.545,1.9991607427807065,0.0,0.0,70815.9571956881,17.8,21.63715939,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,ctu-20110815,1,1.0,BEACON,3.0,4482.98978805542,0.0,0.0,0.0,1204.5532680863746,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,ctu-20110817,1,1.0,BEACON,3.0,4483.982563018799,0.0,0.0,0.0,1204.2865742913373,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,ctu-20110811,1,1.0,BEACON,3.0,4512.223720550537,0.0,0.0,0.0,1196.7491716791792,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-443,0,0.0,SAFE,12.0,290.63627269999995,3.0615156578148617,0.0,0.0,13512.672353041085,308.6666667,698.1194336,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,ctu-20110810,1,1.0,BEACON,3.0,4454.586029052734,0.0,0.0,0.0,1212.2338562509046,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-53,0,0.0,SAFE,4.0,0.04833333333,0.9313409458573338,0.0,0.0,99310344.8275862,50.5,8.76356092,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,ctu-20110817,1,1.0,BEACON,34.0,88.05657878066555,0.0,0.0,0.0,42121.67858950828,342.20588235294116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-80,0,0.0,SAFE,10.0,1689.523556,2.0831822311686072,0.0,0.0,2367.5313592681487,390.8,822.5055733,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-53,0,0.0,SAFE,4.0,0.05833333333,1.6281503215787514,0.0,0.0,82285714.28571428,74.5,18.62256696,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-53,0,0.0,SAFE,4.0,0.051,1.6301654659470588,0.0,0.0,94117647.05882353,69.75,17.5271218402,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-53,0,0.0,SAFE,4.0,0.059,1.6439804275237289,0.0,0.0,81355932.20338984,105.5,52.5813655205,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-54372,0,0.0,SAFE,3.0,0.159,1.3786358628930817,0.0,0.0,33962264.1509434,16.33333333,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,ctu-20110811,1,1.0,BEACON,3.0,4515.719890594482,0.0,0.0,0.0,1195.8226220468925,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-53,0,0.0,SAFE,4.0,0.065,1.082731588303077,0.0,0.0,73846153.84615384,59.25,8.7635609201,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,ctu-20110812,1,1.0,BEACON,3.0,4456.1052322387695,0.0,0.0,0.0,1211.8205739246002,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,ctu-20110817,1,1.0,BEACON,3.0,595.5960154533386,0.0,0.0,0.0,9066.548230497787,99.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-53,0,0.0,SAFE,6.0,15.355799999999999,1.764527501729275,0.0,0.0,281326.92533114523,80.5,54.6504040851,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,ctu-20110817,1,1.0,BEACON,3.0,516.7809724807739,0.0,0.0,0.0,10449.301130569198,127.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,ctu-20110812,1,1.0,BEACON,3.0,6176.152229309082,0.0,0.0,0.0,874.3307806394679,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-443,0,0.0,SAFE,21.0,2608.4806,1.6231513061665093,0.0,0.0,1449.1194605779317,556.4761905,1216.27764,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,ctu-20110812,1,1.0,BEACON,3.0,4456.790924072266,0.0,0.0,0.0,1211.6341313731416,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-49666,0,0.0,SAFE,4.0,0.015,1.502590356,0.0,0.0,320000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-443,0,0.0,SAFE,10.0,577.477,2.8392162441101547,0.0,0.0,6926.682794293106,77.5,154.756818,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,ctu-20110817,1,1.0,BEACON,3.0,4508.147716522217,0.0,0.0,0.0,1197.8312024269244,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-443,0,0.0,SAFE,29.0,2158.142786,1.9179115408168363,0.0,0.0,1727.675969010259,294.5862069,508.6979785,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-53,0,0.0,SAFE,4.0,0.08433333333,1.7115126557988738,0.0,0.0,56916996.04743082,71.75,30.67246322,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-53,0,0.0,SAFE,4.0,16.021,1.7292945402908682,0.0,0.0,299606.7661194682,49.25,8.76356092,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-53,0,0.0,SAFE,4.0,8.415666667,1.726598841774207,0.0,0.0,570364.7958173249,81.0,28.48157299,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,ctu-20110812,1,1.0,BEACON,3.0,4507.168292999268,0.0,0.0,0.0,1198.0914953602949,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,ctu-20110810,1,1.0,BEACON,11.0,48.42920005321503,0.0,0.0,0.0,81768.8501079652,251.72727272727272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-53,0,0.0,SAFE,4.0,0.059,1.0548039242372882,0.0,0.0,81355932.20338984,64.25,8.76356092,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-53,0,0.0,SAFE,4.0,8.107666667,1.7315167392290622,0.0,0.0,592032.2328660116,62.0,37.79285647,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-53,0,0.0,SAFE,4.0,29044.489,1.7311202605690188,0.0,0.0,165.2637097523045,84.0,18.7936159373,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-53,0,0.0,SAFE,4.0,16.69833333,1.731687767188679,0.0,0.0,287453.8377083541,60.5,8.76356092,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-443,0,0.0,SAFE,83.0,1439.0647195121999,6.340751070690698,0.0,0.0,2532.1324257463393,615.0240963855,758.1643618058,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,ctu-20110810,1,1.0,BEACON,3.0,4457.005500793457,0.0,0.0,0.0,1211.575798826963,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,ctu-20110812,1,1.0,BEACON,3.0,4506.146430969238,0.0,0.0,0.0,1198.363187420543,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,ctu-20110817,1,1.0,BEACON,8.0,1030.1674434116908,0.0,0.0,0.0,3993.802891557215,201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,ctu-20110816,1,1.0,BEACON,3.0,4506.224155426025,0.0,0.0,0.0,1198.3425177590784,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-53,0,0.0,SAFE,4.0,15.1786666666667,1.7315943641023657,0.0,0.0,316233.3099086437,88.5,55.8677008655,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-52647,0,0.0,SAFE,3.0,0.018,1.0999438818444445,0.0,0.0,300000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-443,0,0.0,SAFE,11.0,550.7745,3.063413760077854,0.0,0.0,7189.875348259588,73.0,150.8487854,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-53,0,0.0,SAFE,4.0,0.051,0.971924214227451,0.0,0.0,94117647.05882353,54.25,8.7635609201,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-53,0,0.0,SAFE,4.0,16.84,1.7316908212589073,0.0,0.0,285035.6294536817,82.5,32.86335345,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-80,0,0.0,SAFE,4.0,2007.889667,1.7219575511665803,0.0,0.0,2390.569601350938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-53,0,0.0,SAFE,4.0,0.058,1.6424619727586207,0.0,0.0,82758620.68965517,86.75,30.67246322,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,ctu-20110811,1,1.0,BEACON,12.0,35667.24187677557,0.0,0.0,0.0,110.10867453224463,73.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-443,0,0.0,SAFE,17.0,9.5065625,1.4676722337858714,0.0,0.0,402353.63729002996,490.7058824,644.2489674,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,ctu-20110810,1,1.0,BEACON,3.0,4509.981632232666,0.0,0.0,0.0,1197.3441225140268,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-53,0,0.0,SAFE,4.0,0.061,1.0629223001639343,0.0,0.0,78688524.59016393,66.75,8.76356092,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-53,0,0.0,SAFE,4.0,13.03166667,1.7317849866397785,0.0,0.0,368333.5464893209,100.0,57.51086854,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-443,0,0.0,SAFE,17.0,9.0745,1.479016912167833,0.0,0.0,421510.8270428123,276.5294117647,474.8649653261,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,ctu-20110811,1,1.0,BEACON,10.0,36.17433375782437,0.0,0.0,0.0,110575.63704638557,192.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-5550,0,0.0,SAFE,4.0,6.5926666670000005,1.2443746959124091,0.0,0.0,728081.706947113,6.0,2.683281573,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-53,0,0.0,SAFE,6.0,18.3178,1.5747243440806211,0.0,0.0,235836.1812007992,64.83333333,31.71675237,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-53,0,0.0,SAFE,4.0,0.07433333333,0.6368976063514303,0.0,0.0,64573991.03139013,84.25,27.93385043,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-53,0,0.0,SAFE,4.0,0.054333333333299996,1.044765642547267,0.0,0.0,88343558.28220858,82.5,32.8633534503,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-53,0,0.0,SAFE,4.0,0.06833333333330001,1.6814203225296005,0.0,0.0,70243902.43902439,94.0,31.7679083353,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-80,0,0.0,SAFE,33.0,3634.071781,1.3140256009709237,0.0,0.0,1021.5813620288544,74.36363636,199.352356,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-53,0,0.0,SAFE,4.0,0.09166666667,1.2658933406812403,0.0,0.0,52363636.36363636,163.0,140.2169747,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,ctu-20110811,1,1.0,BEACON,13.0,15.64016689856847,0.0,0.0,0.0,249357.95284620416,467.46153846153845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-53,0,0.0,SAFE,4.0,8.368666667,1.7267752026716015,0.0,0.0,573568.07137736,69.25,22.45662486,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,ctu-20110811,1,1.0,BEACON,6.0,201.41019821166992,0.0,0.0,0.0,21448.764950124034,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-443,0,0.0,SAFE,6.0,826.7678000000001,2.2011437225784554,0.0,0.0,5225.167211398412,35.83333333,21.68497395,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,ctu-20110811,1,1.0,BEACON,3.0,4461.8024826049805,0.0,0.0,0.0,1210.2732070845193,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-53,0,0.0,SAFE,4.0,0.05766666667,1.063662349360482,0.0,0.0,83236994.21965319,71.0,31.22018578,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,ctu-20110811,1,1.0,BEACON,6.0,206.22060298919678,0.0,0.0,0.0,20948.440346798478,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,ctu-20110819,1,1.0,BEACON,4.0,674.9707063039144,0.0,0.0,0.0,7111.4197329902145,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-80,0,0.0,SAFE,10.0,1396.74588888889,2.365635577454122,0.0,0.0,2863.7993723983677,181.1,404.4562455266,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,ctu-20110817,1,1.0,BEACON,193.0,253.81316741307575,0.0,0.0,0.0,14257.534535671106,873.1709844559585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-443,0,0.0,SAFE,72.0,1561.195746,2.3164858124075365,0.0,0.0,2338.402620930735,205.0833333,286.1899748,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-443,0,0.0,SAFE,13.0,445.34983333333304,3.0901098185601974,0.0,0.0,8757.160569275315,257.6153846154,473.2660950283,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,ctu-20110812,1,1.0,BEACON,3.0,4523.664951324463,0.0,0.0,0.0,1193.7223596586125,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,ctu-20110811,1,1.0,BEACON,3.0,4438.346862792969,0.0,0.0,0.0,1216.6692164753165,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-53,0,0.0,SAFE,4.0,0.0883333333333,0.7908609347765249,0.0,0.0,54339622.641509436,92.25,53.129088078,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-443,0,0.0,SAFE,46.0,2584.953711,1.6730344572889722,0.0,0.0,1423.6231713480845,160.826087,374.7888484,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-53,0,0.0,SAFE,4.0,15.63333333,1.731718431286081,0.0,0.0,307036.24733475485,74.0,26.29068276,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-53,0,0.0,SAFE,4.0,0.063,1.0807647320634919,0.0,0.0,76190476.19047618,71.75,8.76356092,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-53,0,0.0,SAFE,4.0,16.28,1.7317316332923833,0.0,0.0,294840.29484029487,112.25,69.5607648,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-443,0,0.0,SAFE,13.0,426.0266667,3.310948936427223,0.0,0.0,9154.356534802202,258.0,526.6754532,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,ctu-20110817,1,1.0,BEACON,3.0,4506.448268890381,0.0,0.0,0.0,1198.2829221136576,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-465,0,0.0,SAFE,40.0,48.77820513,3.022373150202872,0.0,0.0,75695.84986989776,147.4,393.2132513,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-443,0,0.0,SAFE,34.0,3345.4219696969703,1.4042337070449007,0.0,0.0,1108.7064480020979,319.9411764706,568.2976022349,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,ctu-20110812,1,1.0,BEACON,3.0,4505.870819091797,0.0,0.0,0.0,1198.436488041267,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-53,0,0.0,SAFE,6.0,10.029200000000001,1.4145406314963804,0.0,0.0,430742.2326805727,123.8333333333,118.0839088268,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-53,0,0.0,SAFE,6.0,20.7746,1.6565721371289943,0.0,0.0,207946.24204557488,132.6666667,139.5537104,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,ctu-20110817,1,1.0,BEACON,12.0,34.55399925058538,0.0,0.0,0.0,113656.09806240286,313.5833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cic-dport-443,0,0.0,SAFE,16.0,391.4653333,3.6527528400686613,0.0,0.0,9809.297715591674,323.0,558.5392779,0.0,0.0,0.0,0.0,0.0,0.0,0.0
