iat_cv,iat_bowley_skewness,iat_norm_mad,iat_burstiness,iat_autocorr_lag1,iat_spread_ratio,iat_clock_share,iat_entropy_norm,payload_size_mean,payload_cv,payload_repeat_ratio,upload_download_ratio,url_path_entropy,unique_path_ratio,http_post_ratio,uri_len_norm,uri_char_entropy_norm,referrer_absent_ratio,error_status_ratio,status_known_ratio,n_flows,c2_ratio,window_start_ts,label,group,family,pair
0.709922,0.713969,0.749859,-0.169644,-0.527135,2.999301,0.163265,0.847237,0.0,0.0,0.98,0.0,1.563233,0.06,0.0,0.081,0.597347,1.0,0.0,0.0,50,0.0,1312968909.763798,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.745831,0.428558,0.749992,-0.145586,-0.525601,2.99996,0.163265,0.87979,0.0,0.0,0.98,0.0,1.563233,0.06,0.0,0.081,0.597347,1.0,0.0,0.0,50,0.0,1312969159.209243,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.691433,-0.142684,0.500144,-0.182429,-0.538437,2.000113,0.061224,0.864719,0.0,0.0,0.98,0.0,1.563233,0.06,0.0,0.081,0.597347,1.0,0.0,0.0,50,0.0,1312969401.341578,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.703827,0.25009,0.600044,-0.173828,-0.485063,2.200306,0.081633,0.86689,0.0,0.0,0.98,0.0,1.566356,0.06,0.0,0.0812,0.597269,1.0,0.0,0.0,50,0.0,1312969651.631828,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.736856,0.143086,0.799788,-0.151506,-0.557181,2.44028,0.061224,0.873595,0.0,0.0,0.98,0.0,1.548955,0.06,0.0,0.0808,0.597965,1.0,0.0,0.0,50,0.0,1312969890.514852,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.743555,0.14423,0.601552,-0.147082,-0.520031,2.40242,0.102041,0.865024,0.0,0.0,0.98,0.0,1.566356,0.06,0.0,0.0812,0.597269,1.0,0.0,0.0,50,0.0,1312970139.148583,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.693622,0.144877,0.599654,-0.180901,-0.498961,2.241889,0.061224,0.872042,0.0,0.0,0.98,0.0,1.548955,0.06,0.0,0.0808,0.597965,1.0,0.0,0.0,50,0.0,1312970372.363657,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.7467,0.143456,0.798821,-0.145016,-0.477438,2.202427,0.061224,0.846795,0.0,0.0,0.98,0.0,1.563233,0.06,0.0,0.081,0.597347,1.0,0.0,0.0,50,0.0,1312970612.930838,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.749943,0.002166,0.798795,-0.142894,-0.510218,2.202932,0.040816,0.841409,0.0,0.0,0.98,0.0,1.563233,0.06,0.0,0.081,0.597347,1.0,0.0,0.0,50,0.0,1312970856.689074,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.661677,-0.142926,0.500844,-0.203604,-0.567576,1.70003,0.061224,0.849556,0.0,0.0,0.98,0.0,1.566356,0.06,0.0,0.0812,0.597269,1.0,0.0,0.0,50,0.0,1312971086.638509,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.745736,0.249698,0.600131,-0.145649,-0.573212,2.439347,0.102041,0.837133,0.0,0.0,0.98,0.0,1.548955,0.06,0.0,0.0808,0.597965,1.0,0.0,0.02,50,0.0,1312971332.830697,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.721064,0.428553,0.749834,-0.162072,-0.590325,2.749725,0.102041,0.880945,0.0,0.0,0.98,0.0,1.563233,0.06,0.0,0.081,0.597347,1.0,0.0,0.0,50,0.0,1312971576.620537,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.69025,0.428559,0.600033,-0.183257,-0.476239,2.199989,0.081633,0.866873,0.0,0.0,0.98,0.0,1.553521,0.06,0.0,0.081,0.597887,1.0,0.0,0.0,50,0.0,1312971816.316908,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.671456,-8e-05,0.599943,-0.196562,-0.469689,2.039832,0.102041,0.853989,0.0,0.0,0.98,0.0,1.563233,0.06,0.0,0.081,0.597347,1.0,0.0,0.0,50,0.0,1312972061.700742,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.701193,0.142848,0.600089,-0.175646,-0.456893,2.200079,0.061224,0.885085,0.0,0.0,0.98,0.0,1.563233,0.06,0.0,0.081,0.597347,1.0,0.0,0.0,50,0.0,1312972303.835035,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.740418,0.250019,0.799874,-0.14915,-0.585747,2.599855,0.081633,0.866731,0.0,0.0,0.98,0.0,1.563233,0.06,0.0,0.081,0.597347,1.0,0.0,0.0,50,0.0,1312972541.094584,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.655071,0.199746,0.59974,-0.208407,-0.422537,2.199504,0.040816,0.898029,0.0,0.0,0.98,0.0,1.553521,0.06,0.0,0.081,0.597887,1.0,0.0,0.02,50,0.0,1312972788.917834,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.719708,0.599108,0.749847,-0.162988,-0.501807,2.799006,0.122449,0.882845,0.0,0.0,0.98,0.0,1.563233,0.06,0.0,0.081,0.597347,1.0,0.0,0.0,50,0.0,1312973029.427155,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.681127,-0.00025,0.600001,-0.189678,-0.480614,2.199474,0.122449,0.898242,0.0,0.0,0.98,0.0,1.563233,0.06,0.0,0.081,0.597347,1.0,0.0,0.0,50,0.0,1312973270.749032,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.72237,-0.333091,0.500165,-0.161191,-0.542249,2.00017,0.142857,0.836362,0.0,0.0,0.98,0.0,1.553521,0.06,0.0,0.081,0.597887,1.0,0.0,0.0,50,0.0,1312973508.820666,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.791618,0.25008,0.799831,-0.116309,-0.507342,2.400469,0.040816,0.904532,0.0,0.0,0.98,0.0,1.563233,0.06,0.0,0.081,0.597347,1.0,0.0,0.0,50,0.0,1312973752.580056,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.740785,-0.110866,0.666809,-0.148907,-0.559813,1.866705,0.081633,0.834086,0.0,0.0,0.98,0.0,1.563233,0.06,0.0,0.081,0.597347,1.0,0.0,0.0,50,0.0,1312974000.403531,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.658454,0.333168,0.599908,-0.205942,-0.493542,2.04004,0.061224,0.90639,0.0,0.0,0.98,0.0,1.563233,0.06,0.0,0.081,0.597347,1.0,0.0,0.0,50,0.0,1312974242.537076,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.711865,0.249877,0.600107,-0.168316,-0.469589,2.59964,0.061224,0.867413,0.0,0.0,0.98,0.0,1.553521,0.06,0.0,0.081,0.597887,1.0,0.0,0.0,50,0.0,1312974483.859532,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.698754,5.6e-05,0.599989,-0.177334,-0.463772,2.239895,0.081633,0.899513,0.0,0.0,0.98,0.0,1.563233,0.06,0.0,0.081,0.597347,1.0,0.0,0.02,50,0.0,1312974734.134597,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.73049,-0.000127,0.600068,-0.155742,-0.533435,2.239913,0.061224,0.873827,0.0,0.0,0.98,0.0,1.553521,0.06,0.0,0.081,0.597887,1.0,0.0,0.02,50,0.0,1312974976.268605,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.715521,0.249557,0.60032,-0.165827,-0.568103,2.239621,0.040816,0.868975,0.0,0.0,0.98,0.0,1.563233,0.06,0.0,0.081,0.597347,1.0,0.0,0.0,50,0.0,1312975211.903903,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.665285,0.333347,0.599562,-0.200996,-0.520819,2.199523,0.061224,0.848953,0.0,0.0,0.98,0.0,1.563233,0.06,0.0,0.081,0.597347,1.0,0.0,0.0,50,0.0,1312975452.412703,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.674685,0.142693,0.600074,-0.194255,-0.523003,2.19947,0.081633,0.927295,0.0,0.0,0.98,0.0,1.548955,0.06,0.0,0.0808,0.597965,1.0,0.0,0.0,50,0.0,1312975695.361915,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.71623,0.142648,0.79944,-0.165345,-0.530259,2.199589,0.061224,0.896003,0.0,0.0,0.98,0.0,1.563233,0.06,0.0,0.081,0.597347,1.0,0.0,0.0,50,0.0,1312975945.621745,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.725841,-0.333081,0.500244,-0.158855,-0.522804,2.166668,0.081633,0.881176,0.0,0.0,0.98,0.0,1.563233,0.06,0.0,0.081,0.597347,1.0,0.0,0.0,50,0.0,1312976192.631621,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.722321,0.143171,0.799709,-0.161224,-0.570772,2.240134,0.061224,0.800204,0.0,0.0,0.98,0.0,1.563233,0.06,0.0,0.081,0.597347,1.0,0.0,0.0,50,0.0,1312976433.142031,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.690457,0.142802,0.60022,-0.183112,-0.52054,2.199991,0.020408,0.877693,0.0,0.0,0.98,0.0,1.553521,0.06,0.0,0.081,0.597887,1.0,0.0,0.02,50,0.0,1312976671.21357,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.690436,0.499967,0.749986,-0.183126,-0.524664,2.749794,0.122449,0.862163,0.0,0.0,0.98,0.0,1.563233,0.06,0.0,0.081,0.597347,1.0,0.0,0.0,50,0.0,1312976906.847919,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.720997,6.3e-05,0.666662,-0.162117,-0.497792,1.866905,0.061224,0.863389,0.0,0.0,0.98,0.0,1.548955,0.06,0.0,0.0808,0.597965,1.0,0.0,0.0,50,0.0,1312977142.482091,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.739652,0.250114,0.799846,-0.149656,-0.49537,2.240516,0.061224,0.851591,0.0,0.0,0.98,0.0,1.566356,0.06,0.0,0.0812,0.597269,1.0,0.0,0.0,50,0.0,1312977386.241597,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.690076,-0.142826,0.500132,-0.183379,-0.505802,1.833281,0.081633,0.898152,0.0,0.0,0.98,0.0,1.563233,0.06,0.0,0.081,0.597347,1.0,0.0,0.0,50,0.0,1312977628.37601,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.709364,0.250186,0.60021,-0.170026,-0.531651,2.200244,0.040816,0.863621,0.0,0.0,0.98,0.0,1.553521,0.06,0.0,0.081,0.597887,1.0,0.0,0.0,50,0.0,1312977873.760499,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.754747,0.500227,0.748604,-0.139765,-0.485812,2.99869,0.081633,0.840291,0.0,0.0,0.98,0.0,1.563233,0.06,0.0,0.081,0.597347,1.0,0.0,0.0,50,0.0,1312978111.019506,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.708082,-0.143431,0.666567,-0.170904,-0.509611,1.866863,0.122449,0.820282,0.0,0.0,0.98,0.0,1.563233,0.06,0.0,0.081,0.597347,1.0,0.0,0.0,50,0.0,1312978349.107618,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.728586,0.251381,0.601575,-0.157015,-0.447902,2.402244,0.061224,0.857027,0.0,0.0,0.98,0.0,1.553521,0.06,0.0,0.081,0.597887,1.0,0.0,0.0,50,0.0,1312978583.932917,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.678851,0.142778,0.60023,-0.191291,-0.514297,2.198573,0.081633,0.879675,0.0,0.0,0.98,0.0,1.563233,0.06,0.0,0.081,0.597347,1.0,0.0,0.0,50,0.0,1312978824.442303,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.749807,0.144795,0.798812,-0.142983,-0.535685,2.402706,0.061224,0.842672,0.0,0.0,0.98,0.0,1.548955,0.06,0.0,0.0808,0.597965,1.0,0.0,0.0,50,0.0,1312979057.635988,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.794761,0.112565,0.79899,-0.114355,-0.518967,2.402785,0.102041,0.85231,0.0,0.0,0.98,0.0,1.563233,0.06,0.0,0.081,0.597347,1.0,0.0,0.0,50,0.0,1312979302.212457,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.693458,0.24993,0.799903,-0.181015,-0.507912,2.2001,0.102041,0.85175,0.0,0.0,0.98,0.0,1.563233,0.06,0.0,0.081,0.597347,1.0,0.0,0.0,50,0.0,1312979544.359302,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.739609,0.250379,0.60006,-0.149684,-0.450658,2.399934,0.040816,0.859408,0.0,0.0,0.98,0.0,1.548955,0.06,0.0,0.0808,0.597965,1.0,0.0,0.0,50,0.0,1312979779.994384,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.699301,0.666573,0.749966,-0.176955,-0.428667,2.749994,0.142857,0.861905,0.0,0.0,0.98,0.0,1.563233,0.06,0.0,0.081,0.597347,1.0,0.0,0.0,50,0.0,1312980027.003757,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.71184,0.714007,0.749975,-0.168334,-0.527943,2.749642,0.142857,0.827017,0.0,0.0,0.98,0.0,1.548955,0.06,0.0,0.0808,0.597965,1.0,0.0,0.0,50,0.0,1312980265.887782,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.712165,-0.142617,0.666559,-0.168112,-0.450628,1.866962,0.081633,0.874192,0.0,0.0,0.98,0.0,1.563233,0.06,0.0,0.081,0.597347,1.0,0.0,0.0,50,0.0,1312980506.397359,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.753867,0.000216,0.799901,-0.140337,-0.521206,2.200156,0.061224,0.832301,0.0,0.0,0.98,0.0,1.563233,0.06,0.0,0.081,0.597347,1.0,0.0,0.0,50,0.0,1312980750.155985,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.692104,0.142615,0.799752,-0.18196,-0.488531,2.239986,0.081633,0.836052,0.0,0.0,0.98,0.0,1.563233,0.06,0.0,0.081,0.597347,1.0,0.0,0.0,50,0.0,1312980991.47697,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.700708,0.142803,0.600008,-0.175981,-0.48287,2.039919,0.061224,0.872042,0.0,0.0,0.98,0.0,1.553521,0.06,0.0,0.081,0.597887,1.0,0.0,0.0,50,0.0,1312981228.735103,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.675551,-0.142692,0.500194,-0.193637,-0.49433,1.666828,0.122449,0.846855,0.0,0.0,0.98,0.0,1.563233,0.06,0.0,0.081,0.597347,1.0,0.0,0.0,50,0.0,1312981469.619883,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.693499,-0.142716,0.500094,-0.180987,-0.520779,1.86686,0.122449,0.889323,0.0,0.0,0.98,0.0,1.553521,0.06,0.0,0.081,0.597887,1.0,0.0,0.0,50,0.0,1312981705.689908,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.680796,0.332998,0.600092,-0.189912,-0.51767,2.40004,0.061224,0.84818,0.0,0.0,0.98,0.0,1.563233,0.06,0.0,0.081,0.597347,1.0,0.0,0.0,50,0.0,1312981947.011787,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.632757,0.333487,0.599757,-0.224922,-0.509994,2.040583,0.040816,0.871669,0.0,0.0,0.98,0.0,1.563233,0.06,0.0,0.081,0.597347,1.0,0.0,0.0,50,0.0,1312982191.584562,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.700339,0.143048,0.600205,-0.176236,-0.51428,2.200317,0.061224,0.851004,0.0,0.0,0.98,0.0,1.548955,0.06,0.0,0.0808,0.597965,1.0,0.0,0.0,50,0.0,1312982436.985665,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.72077,0.428669,0.749982,-0.16227,-0.571031,2.749471,0.183673,0.925669,0.0,0.0,0.98,0.0,1.563233,0.06,0.0,0.081,0.597347,1.0,0.0,0.0,50,0.0,1312982675.871215,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.710722,0.666467,0.74991,-0.169097,-0.542,2.799809,0.122449,0.839986,0.0,0.0,0.98,0.0,1.563233,0.06,0.0,0.081,0.597347,1.0,0.0,0.0,50,0.0,1312982923.693922,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.691239,0.142951,0.600075,-0.182565,-0.499233,2.19991,0.081633,0.882545,0.0,0.0,0.98,0.0,1.563233,0.06,0.0,0.081,0.597347,1.0,0.0,0.0,50,0.0,1312983165.017694,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.717772,0.001718,0.601686,-0.164299,-0.539029,2.204691,0.040816,0.845354,0.0,0.0,0.98,0.0,1.563233,0.06,0.0,0.081,0.597347,1.0,0.0,0.02,50,0.0,1312983410.40185,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.714828,0.143764,0.600747,-0.166298,-0.496641,2.399427,0.102041,0.843843,0.0,0.0,0.98,0.0,1.566356,0.06,0.0,0.0812,0.597269,1.0,0.0,0.0,50,0.0,1312983645.258224,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.703736,0.142284,0.600294,-0.173891,-0.508858,2.238524,0.061224,0.87979,0.0,0.0,0.98,0.0,1.553521,0.06,0.0,0.081,0.597887,1.0,0.0,0.0,50,0.0,1312983889.014383,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.748349,0.14264,0.79912,-0.143936,-0.488504,2.400472,0.122449,0.829609,0.0,0.0,0.98,0.0,1.563233,0.06,0.0,0.081,0.597347,1.0,0.0,0.0,50,0.0,1312984128.711258,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
0.76828,0.612726,0.750205,-0.131043,-0.494037,2.998386,0.1875,0.776001,0.0,0.0,0.941176,0.0,1.548565,0.176471,0.0,0.080882,0.59806,1.0,0.0,0.0,17,0.0,1312984367.593174,0,ctu13-s1,benign,147.32.86.20->87.98.230.229
1.388244,0.975233,0.997986,0.162565,-1.0,64.473308,0.333333,0.477121,122.25,1.732051,0.5,0.0,2.0,1.0,0.0,0.7625,0.851695,1.0,0.0,0.25,4,0.0,1312962413.524697,0,ctu13-s1,benign,147.32.85.30->195.113.232.80
0.826437,0.300851,0.73294,-0.095028,-0.281266,2.726887,0.061224,0.903592,159.82,1.041257,0.66,0.0,5.643856,1.0,0.0,0.3206,0.703074,1.0,1.0,0.78,50,0.0,1312962413.592298,0,ctu13-s1,benign,66.249.66.241->147.32.86.92
0.868811,0.156031,0.659783,-0.070199,-0.204913,2.482127,0.102041,0.90264,116.04,1.472075,0.7,0.0,5.643856,1.0,0.0,0.3173,0.719081,1.0,1.0,0.72,50,0.0,1312963907.091042,0,ctu13-s1,benign,66.249.66.241->147.32.86.92
0.7037,0.17895,0.541284,-0.173915,-0.271106,1.896617,0.102041,0.881228,827.1,1.476042,0.48,0.0,5.643856,1.0,0.0,0.3273,0.717539,1.0,1.0,0.86,50,0.0,1312965571.80574,0,ctu13-s1,benign,66.249.66.241->147.32.86.92
0.652028,0.260267,0.561018,-0.210633,-0.433149,1.930551,0.102041,0.889109,172.56,0.940659,0.68,0.0,5.643856,1.0,0.0,0.332,0.712322,1.0,1.0,0.9,50,0.0,1312967235.571501,0,ctu13-s1,benign,66.249.66.241->147.32.86.92
