raw_label,class,is_background_derived,unmapped_label,occurrence_count,scenarios_seen_in
flow=From-Normal-V54-Jist,0.0,False,,948,13
flow=From-Normal-V48-Stribrek,0.0,False,,807,7
flow=From-Normal-V47-Jist,0.0,False,,682,6
flow=From-Normal-V51-UDP-CVUT-DNS-Server,0.0,False,,667,10
flow=From-Normal-V52-Stribrek,0.0,False,,581,11
flow=To-Normal-V44-UDP-NTP-server,0.0,False,,562,3
flow=From-Normal-V48-Grill,0.0,False,,520,7
flow=From-Normal-V54-CVUT-WebServer,0.0,False,,422,13
flow=From-Normal-V49-CVUT-WebServer,0.0,False,,359,8
flow=To-Background-Jist,0.0,True,,337,1;2;3;4;5;6;7;8;9;10;11;12;13
flow=From-Normal-V48-Jist,0.0,False,,292,7
flow=From-Normal-V42-CVUT-WebServer,0.0,False,,269,1
flow=To-Normal-V49-UDP-NTP-server,0.0,False,,182,8
flow=To-Normal-V54-UDP-NTP-server,0.0,False,,152,13
flow=To-Normal-V42-UDP-NTP-server,0.0,False,,120,1
flow=From-Normal-V50-UDP-CVUT-DNS-Server,0.0,False,,119,9
flow=From-Normal-V50-CVUT-WebServer,0.0,False,,111,9
flow=From-Normal-V51-CVUT-WebServer,0.0,False,,99,10
flow=From-Normal-V44-MatLab-Server,0.0,False,,92,3
flow=From-Normal-V45-CVUT-WebServer,0.0,False,,89,4
flow=From-Normal-V42-UDP-CVUT-DNS-Server,0.0,False,,83,1
flow=From-Normal-V43-CVUT-WebServer,0.0,False,,71,2
flow=To-Normal-V50-UDP-NTP-server,0.0,False,,68,9
flow=To-Normal-V45-UDP-NTP-server,0.0,False,,49,4
flow=From-Normal-V48-CVUT-WebServer,0.0,False,,49,7
flow=From-Normal-V49-UDP-CVUT-DNS-Server,0.0,False,,46,8
flow=To-Normal-V51-UDP-NTP-server,0.0,False,,37,10
flow=To-Normal-V43-UDP-NTP-server,0.0,False,,36,2
flow=From-Normal-V47-CVUT-WebServer,0.0,False,,34,6
flow=From-Normal-V53-CVUT-WebServer,0.0,False,,32,12
flow=From-Normal-V43-Grill,0.0,False,,25,2
flow=Normal-V45-HTTP-windowsupdate,0.0,False,,24,4
flow=From-Normal-V43-UDP-CVUT-DNS-Server,0.0,False,,23,2
flow=Background-CS-Host-CVUT,0.0,True,,22,1
flow=Normal-V44-HTTP-windowsupdate,0.0,False,,22,3
flow=To-Normal-V47-UDP-NTP-server,0.0,False,,22,6
flow=From-Normal-V47-UDP-CVUT-DNS-Server,0.0,False,,20,6
flow=From-Normal-V49-MatLab-Server,0.0,False,,19,8
flow=From-Normal-V54-MatLab-Server,0.0,False,,18,13
flow=From-Normal-V44-UDP-CVUT-DNS-Server,0.0,False,,14,3
flow=From-Normal-V46-CVUT-WebServer,0.0,False,,14,5
flow=From-Normal-V45-UDP-CVUT-DNS-Server,0.0,False,,13,4
flow=To-Normal-V53-UDP-NTP-server,0.0,False,,13,12
flow=To-Normal-V46-UDP-NTP-server,0.0,False,,11,5
flow=From-Normal-V52-Jist,0.0,False,,11,11
flow=Normal-V42-HTTP-windowsupdate,0.0,False,,9,1
flow=Normal-V46-HTTP-windowsupdate,0.0,False,,8,5
flow=To-Normal-V48-UDP-NTP-server,0.0,False,,8,7
flow=To-Normal-V52-UDP-NTP-server,0.0,False,,8,11
flow=Normal-V54-HTTP-windowsupdate,0.0,False,,8,13
flow=From-Normal-V42-MatLab-Server,0.0,False,,6,1
flow=From-Normal-V50-MatLab-Server,0.0,False,,6,9
flow=Normal-V50-HTTP-windowsupdate,0.0,False,,6,9
flow=From-Normal-V54-UDP-CVUT-DNS-Server,0.0,False,,6,13
flow=From-Normal-V46-UDP-CVUT-DNS-Server,0.0,False,,5,5
flow=Normal-V51-HTTP-windowsupdate,0.0,False,,5,10
flow=From-Normal-V45-MatLab-Server,0.0,False,,4,4
flow=From-Normal-V51-MatLab-Server,0.0,False,,4,10
flow=From-Normal-V43-MatLab-Server,0.0,False,,3,2
flow=From-Normal-V53-UDP-CVUT-DNS-Server,0.0,False,,3,12
flow=Normal-V43-HTTP-windowsupdate,0.0,False,,2,2
flow=From-Normal-V46-MatLab-Server,0.0,False,,2,5
flow=From-Normal-V47-MatLab-Server,0.0,False,,2,6
flow=From-Normal-V52-MatLab-Server,0.0,False,,2,11
flow=Normal-V47-HTTP-windowsupdate,0.0,False,,1,6
flow=From-Normal-V48-UDP-CVUT-DNS-Server,0.0,False,,1,7
flow=Normal-V49-HTTP-windowsupdate,0.0,False,,1,8
flow=From-Normal-V52-UDP-CVUT-DNS-Server,0.0,False,,1,11
flow=Normal-V52-HTTP-windowsupdate,0.0,False,,1,11
flow=From-Normal-V52-CVUT-WebServer,0.0,False,,1,11
flow=From-Normal-V53-MatLab-Server,0.0,False,,1,12
flow=From-Botnet-V44-TCP-Attempt,1.0,False,,26234,3
flow=From-Botnet-V42-UDP-DNS,1.0,False,,26140,1
flow=From-Botnet-V54-TCP-Attempt,1.0,False,,22463,13
flow=From-Botnet-V50-1-UDP-DNS,1.0,False,,15115,9
flow=From-Botnet-V51-2-ICMP,1.0,False,,14414,10;11
flow=From-Botnet-V51-1-ICMP,1.0,False,,13697,10;11;12
flow=From-Botnet-V50-7-UDP-DNS,1.0,False,,12588,9
flow=From-Botnet-V51-6-ICMP,1.0,False,,11836,10
flow=From-Botnet-V50-3-UDP-DNS,1.0,False,,11429,9
flow=From-Botnet-V51-7-ICMP,1.0,False,,11252,10
flow=From-Botnet-V51-5-ICMP,1.0,False,,11125,10
flow=From-Botnet-V51-9-ICMP,1.0,False,,11081,10
flow=From-Botnet-V50-2-UDP-DNS,1.0,False,,10961,9
flow=From-Botnet-V50-4-UDP-DNS,1.0,False,,10707,9
flow=From-Botnet-V51-8-ICMP,1.0,False,,10541,10
flow=From-Botnet-V50-5-UDP-DNS,1.0,False,,10412,9
flow=From-Botnet-V51-3-ICMP,1.0,False,,10363,10
flow=From-Botnet-V50-6-UDP-DNS,1.0,False,,10349,9
flow=From-Botnet-V51-4-ICMP,1.0,False,,9970,10
flow=From-Botnet-V50-9-UDP-DNS,1.0,False,,9965,9
flow=From-Botnet-V51-10-ICMP,1.0,False,,9857,10
flow=From-Botnet-V43-TCP-Attempt,1.0,False,,9759,2
flow=From-Botnet-V50-8-UDP-DNS,1.0,False,,9523,9
flow=From-Botnet-V42-TCP-Attempt-SPAM,1.0,False,,8105,1
flow=From-Botnet-V54-UDP-DNS,1.0,False,,7523,13
flow=From-Botnet-V50-10-UDP-DNS,1.0,False,,6656,9
flow=From-Botnet-V54-TCP-Attempt-SPAM,1.0,False,,6617,13
flow=From-Botnet-V43-TCP-Attempt-SPAM,1.0,False,,5477,2
flow=From-Botnet-V50-1-TCP-Attempt-SPAM,1.0,False,,4951,9
flow=From-Botnet-V49-TCP-Attempt,1.0,False,,4710,8
flow=From-Botnet-V50-2-TCP-Attempt-SPAM,1.0,False,,4654,9
flow=From-Botnet-V47-TCP-Attempt-SPAM,1.0,False,,4398,6
flow=From-Botnet-V50-10-TCP-Attempt-SPAM,1.0,False,,4288,9
flow=From-Botnet-V50-3-TCP-Attempt-SPAM,1.0,False,,4246,9
flow=From-Botnet-V50-4-TCP-Attempt-SPAM,1.0,False,,4153,9
flow=From-Botnet-V50-6-TCP-Attempt-SPAM,1.0,False,,4129,9
flow=From-Botnet-V50-5-TCP-Attempt-SPAM,1.0,False,,3964,9
flow=From-Botnet-V50-7-TCP-Attempt-SPAM,1.0,False,,3941,9
flow=From-Botnet-V50-8-TCP-Attempt-SPAM,1.0,False,,3865,9
flow=From-Botnet-V50-9-TCP-Attempt-SPAM,1.0,False,,3709,9
flow=From-Botnet-V42-UDP-Attempt-DNS,1.0,False,,3057,1
flow=From-Botnet-V50-10-TCP-Attempt,1.0,False,,2800,9
flow=From-Botnet-V50-3-TCP-Attempt,1.0,False,,2651,9
flow=From-Botnet-V50-9-TCP-Attempt,1.0,False,,2469,9
flow=From-Botnet-V50-5-TCP-Attempt,1.0,False,,2430,9
flow=From-Botnet-V42-TCP-Attempt,1.0,False,,1881,1
flow=From-Botnet-V43-TCP-HTTP-Persistent-Down-1,1.0,False,,1210,2
flow=From-Botnet-V45-TCP-Attempt-SPAM,1.0,False,,1127,4
flow=From-Botnet-V49-TCP-CC74-HTTP-Custom-Port-Not-Encrypted,1.0,False,,1057,8
flow=From-Botnet-V50-1-TCP-Attempt,1.0,False,,894,9
flow=From-Botnet-V50-2-TCP-Attempt,1.0,False,,838,9
flow=From-Botnet-V45-ICMP,1.0,False,,812,4
flow=From-Botnet-V50-4-TCP-Attempt,1.0,False,,807,9
flow=From-Botnet-V50-6-TCP-Attempt,1.0,False,,799,9
flow=From-Botnet-V43-UDP-DNS,1.0,False,,788,2
flow=From-Botnet-V50-7-TCP-Attempt,1.0,False,,777,9
flow=From-Botnet-V50-8-TCP-Attempt,1.0,False,,776,9
flow=From-Botnet-V54-TCP-Not-Encrypted-SMTP-Private-Proxy-1,1.0,False,,665,13
flow=From-Botnet-V50-10-TCP-Not-Encrypted-SMTP-Private-Proxy-6,1.0,False,,658,9
flow=From-Botnet-V54-TCP-WEB-Established,1.0,False,,528,13
flow=From-Botnet-V50-2-TCP-Not-Encrypted-SMTP-Private-Proxy-2,1.0,False,,521,9
flow=From-Botnet-V45-UDP-Attempt,1.0,False,,501,4
flow=From-Botnet-V50-8-TCP-Not-Encrypted-SMTP-Private-Proxy-6,1.0,False,,496,9
flow=From-Botnet-V44-TCP-Established,1.0,False,,491,3
flow=From-Botnet-V50-4-TCP-Not-Encrypted-SMTP-Private-Proxy-4,1.0,False,,469,9
flow=From-Botnet-V50-6-TCP-WEB-Established,1.0,False,,437,9
flow=From-Botnet-V46-TCP-Attempt,1.0,False,,422,5
flow=From-Botnet-V50-9-TCP-Not-Encrypted-SMTP-Private-Proxy-5,1.0,False,,412,9
flow=From-Botnet-V54-TCP-CC16-HTTP-Not-Encrypted,1.0,False,,391,13
flow=From-Botnet-V50-3-TCP-Not-Encrypted-SMTP-Private-Proxy-3,1.0,False,,386,9
flow=From-Botnet-V50-6-TCP-Not-Encrypted-SMTP-Private-Proxy-6,1.0,False,,383,9
flow=From-Botnet-V43-TCP-WEB-Established,1.0,False,,366,2
flow=From-Botnet-V50-5-TCP-WEB-Established,1.0,False,,364,9
flow=From-Botnet-V51-1-UDP-Established,1.0,False,,362,12
flow=From-Botnet-V42-TCP-Established-HTTP-Ad-63,1.0,False,,352,1
flow=From-Botnet-V50-10-TCP-WEB-Established-SSL,1.0,False,,352,9
flow=From-Botnet-V50-5-TCP-Not-Encrypted-SMTP-Private-Proxy-3,1.0,False,,334,9
flow=From-Botnet-V43-TCP-Established-HTTP-Ad-45,1.0,False,,331,2
flow=From-Botnet-V42-TCP-Not-Encrypted-SMTP-Private-Proxy-1,1.0,False,,320,1
flow=From-Botnet-V50-2-TCP-WEB-Established,1.0,False,,311,9
flow=From-Botnet-V51-2-UDP-Attempt,1.0,False,,306,10;11;12
flow=From-Botnet-V43-TCP-Established-HTTP-Ad-41,1.0,False,,297,2
flow=From-Botnet-V50-1-TCP-Not-Encrypted-SMTP-Private-Proxy-1,1.0,False,,292,9
flow=From-Botnet-V50-4-TCP-WEB-Established,1.0,False,,284,9
flow=From-Botnet-V54-TCP-Established-HTTP-Ad-30,1.0,False,,281,13
flow=From-Botnet-V51-2-UDP-Established,1.0,False,,277,12
flow=From-Botnet-V50-4-TCP-WEB-Established-SSL,1.0,False,,267,9
flow=From-Botnet-V51-1-UDP-Attempt,1.0,False,,264,10;11;12
flow=From-Botnet-V50-9-TCP-WEB-Established,1.0,False,,258,9
flow=From-Botnet-V50-2-TCP-WEB-Established-SSL,1.0,False,,254,9
flow=From-Botnet-V50-8-TCP-WEB-Established,1.0,False,,241,9
flow=From-Botnet-V54-TCP-WEB-Established-SSL,1.0,False,,239,13
flow=From-Botnet-V50-9-TCP-WEB-Established-SSL,1.0,False,,231,9
flow=From-Botnet-V50-3-TCP-WEB-Established,1.0,False,,225,9
flow=From-Botnet-V42-TCP-CC16-HTTP-Not-Encrypted,1.0,False,,221,1
flow=From-Botnet-V50-10-TCP-WEB-Established,1.0,False,,214,9
flow=From-Botnet-V50-8-TCP-WEB-Established-SSL,1.0,False,,211,9
flow=From-Botnet-V50-7-TCP-WEB-Established,1.0,False,,208,9
flow=From-Botnet-V50-6-TCP-WEB-Established-SSL,1.0,False,,205,9
flow=From-Botnet-V47-TCP-CC73-Not-Encrypted,1.0,False,,199,6
flow=From-Botnet-V43-TCP-CC69-Custom-Encryption,1.0,False,,198,2
flow=From-Botnet-V43-TCP-Not-Encrypted-SMTP-Private-Proxy-1,1.0,False,,196,2
flow=From-Botnet-V51-3-UDP-Attempt,1.0,False,,196,10;11;12
flow=From-Botnet-V51-3-UDP-Established,1.0,False,,194,12
flow=From-Botnet-V50-3-TCP-WEB-Established-SSL,1.0,False,,189,9
flow=From-Botnet-V43-TCP-CC66-HTTP-Custom-Encryption,1.0,False,,182,2
flow=From-Botnet-V43-TCP-Established-HTTP-Ad-38,1.0,False,,182,2
flow=From-Botnet-V46-TCP-Not-Encrypted-SMTP-Private-Proxy-1,1.0,False,,181,5
flow=From-Botnet-V50-1-TCP-WEB-Established,1.0,False,,181,9
flow=From-Botnet-V43-TCP-Established-HTTP-Ad-33,1.0,False,,169,2
flow=From-Botnet-V43-TCP-Established-HTTP-Ad-12,1.0,False,,161,2
flow=From-Botnet-V54-TCP-Established-HTTP-Ad-1,1.0,False,,160,13
flow=From-Botnet-V50-1-TCP-CC16-HTTP-Not-Encrypted,1.0,False,,156,9
flow=From-Botnet-V50-5-TCP-WEB-Established-SSL,1.0,False,,154,9
flow=From-Botnet-V43-TCP-Established-HTTP-Ad-43,1.0,False,,147,2
flow=From-Botnet-V43-TCP-Established-HTTP-Ad-31,1.0,False,,143,2
flow=From-Botnet-V43-TCP-Established-HTTP-Ad-yieldmanager-8,1.0,False,,142,2
flow=From-Botnet-V50-3-TCP-CC16-HTTP-Not-Encrypted,1.0,False,,141,9
flow=From-Botnet-V50-6-TCP-CC16-HTTP-Not-Encrypted,1.0,False,,141,9
flow=From-Botnet-V54-TCP-Established-SPAM,1.0,False,,140,13
flow=From-Botnet-V50-10-TCP-CC12-HTTP-Not-Encrypted,1.0,False,,137,9
flow=From-Botnet-V50-2-TCP-CC16-HTTP-Not-Encrypted,1.0,False,,136,9
flow=From-Botnet-V50-7-TCP-Not-Encrypted-SMTP-Private-Proxy-5,1.0,False,,136,9
flow=From-Botnet-V43-TCP-Established-HTTP-Ad-34,1.0,False,,135,2
flow=From-Botnet-V50-4-TCP-CC16-HTTP-Not-Encrypted,1.0,False,,129,9
flow=From-Botnet-V49-UDP-Established-Custom-Encryption-1,1.0,False,,127,8
flow=From-Botnet-V50-7-TCP-CC16-HTTP-Not-Encrypted,1.0,False,,127,9
flow=From-Botnet-V50-5-TCP-CC16-HTTP-Not-Encrypted,1.0,False,,121,9
flow=From-Botnet-V50-10-TCP-CC16-HTTP-Not-Encrypted,1.0,False,,121,9
flow=From-Botnet-V51-2-TCP-WEB-Established,1.0,False,,119,10;12
flow=From-Botnet-V51-3-TCP-WEB-Established,1.0,False,,115,12
flow=From-Botnet-V43-TCP-CC16-HTTP-Not-Encrypted,1.0,False,,114,2
flow=From-Botnet-V50-8-TCP-CC16-HTTP-Not-Encrypted,1.0,False,,114,9
flow=From-Botnet-V51-1-TCP-WEB-Established,1.0,False,,106,10;12
flow=From-Botnet-V50-9-TCP-CC16-HTTP-Not-Encrypted,1.0,False,,97,9
flow=From-Botnet-V49-UDP-Established-Custom-Encryption-2,1.0,False,,94,8
flow=From-Botnet-V42-TCP-WEB-Established,1.0,False,,93,1
flow=From-Botnet-V51-2-UDP-DNS,1.0,False,,91,10;11;12
flow=From-Botnet-V54-TCP-Established-HTTP-Ad-37,1.0,False,,91,13
flow=From-Botnet-V43-TCP-CC70-Custom-Encryption,1.0,False,,89,2
flow=From-Botnet-V51-1-UDP-DNS,1.0,False,,89,10;11;12
flow=From-Botnet-V51-3-UDP-DNS,1.0,False,,88,10;11;12
flow=From-Botnet-V50-1-TCP-WEB-Established-SSL,1.0,False,,81,9
flow=From-Botnet-V43-TCP-Established-HTTP-Ad-39,1.0,False,,80,2
flow=From-Botnet-V50-2-TCP-CC12-HTTP-Not-Encrypted,1.0,False,,79,9
flow=From-Botnet-V50-10-TCP-Established-HTTP-Ad-21,1.0,False,,79,9
flow=From-Botnet-V43-TCP-Established-HTTP-Ad-35,1.0,False,,77,2
flow=From-Botnet-V50-1-TCP-CC23-Plain-HTTP-Encrypted-Data,1.0,False,,77,9
flow=From-Botnet-V45-UDP-DNS,1.0,False,,70,4
flow=From-Botnet-V49-UDP-DNS,1.0,False,,69,8
flow=From-Botnet-V50-1-TCP-Established-HTTP-Ad-2,1.0,False,,68,9
flow=From-Botnet-V50-4-TCP-CC20-Plain-HTTP-Encrypted-Data,1.0,False,,68,9
flow=From-Botnet-V50-3-TCP-CC23-Plain-HTTP-Encrypted-Data,1.0,False,,67,9
flow=From-Botnet-V50-2-TCP-CC23-Plain-HTTP-Encrypted-Data,1.0,False,,66,9
flow=From-Botnet-V50-5-TCP-CC20-Plain-HTTP-Encrypted-Data,1.0,False,,66,9
flow=From-Botnet-V50-6-TCP-CC20-Plain-HTTP-Encrypted-Data,1.0,False,,66,9
flow=From-Botnet-V50-10-TCP-Established-SSL-To-Microsoft-5,1.0,False,,66,9
flow=From-Botnet-V50-6-TCP-Established-HTTP-Ad-2,1.0,False,,65,9
flow=From-Botnet-V50-3-TCP-Established-HTTP-Ad-21,1.0,False,,64,9
flow=From-Botnet-V50-7-TCP-CC20-Plain-HTTP-Encrypted-Data,1.0,False,,64,9
flow=From-Botnet-V54-TCP-Established-HTTP-Ad-10,1.0,False,,64,13
flow=From-Botnet-V44-TCP-CC107-IRC-Not-Encrypted,1.0,False,,63,3
flow=From-Botnet-V50-3-TCP-Established-HTTP-Ad-2,1.0,False,,63,9
flow=From-Botnet-V42-TCP-Established-SPAM,1.0,False,,62,1
flow=From-Botnet-V50-9-TCP-CC20-Plain-HTTP-Encrypted-Data,1.0,False,,62,9
flow=From-Botnet-V50-10-TCP-CC20-Plain-HTTP-Encrypted-Data,1.0,False,,61,9
flow=From-Botnet-V50-4-TCP-Established-HTTP-Ad-2,1.0,False,,60,9
flow=From-Botnet-V50-4-TCP-CC12-HTTP-Not-Encrypted,1.0,False,,59,9
flow=From-Botnet-V50-8-TCP-CC20-Plain-HTTP-Encrypted-Data,1.0,False,,59,9
flow=From-Botnet-V54-TCP-Established-HTTP-Ad-yieldmanager-9,1.0,False,,59,13
flow=From-Botnet-V50-7-TCP-Established-HTTP-Ad-2,1.0,False,,58,9
flow=From-Botnet-V54-TCP-Established-HTTP-Ad-40,1.0,False,,56,13
flow=From-Botnet-V50-2-TCP-Established-HTTP-Ad-2,1.0,False,,55,9
flow=From-Botnet-V50-4-TCP-Established-HTTP-Ad-21,1.0,False,,55,9
flow=From-Botnet-V50-5-TCP-Established-HTTP-Ad-2,1.0,False,,54,9
flow=From-Botnet-V42-TCP-CC53-HTTP-Not-Encrypted,1.0,False,,53,1
flow=From-Botnet-V50-5-TCP-Established-HTTP-Ad-21,1.0,False,,53,9
flow=From-Botnet-V54-TCP-Established-HTTP-Ad-32,1.0,False,,53,13
flow=From-Botnet-V50-10-TCP-Established-HTTP-Ad-2,1.0,False,,52,9
flow=From-Botnet-V50-3-TCP-CC12-HTTP-Not-Encrypted,1.0,False,,51,9
flow=From-Botnet-V50-8-TCP-CC12-HTTP-Not-Encrypted,1.0,False,,51,9
flow=From-Botnet-V50-10-TCP-Established-SSL-To-Microsoft-3,1.0,False,,51,9
flow=From-Botnet-V42-TCP-WEB-Established-SSL,1.0,False,,50,1
flow=From-Botnet-V43-TCP-Established-HTTP-Ad-25,1.0,False,,50,2
flow=From-Botnet-V50-8-TCP-Established-HTTP-Ad-2,1.0,False,,50,9
flow=From-Botnet-V54-TCP-CC12-HTTP-Not-Encrypted,1.0,False,,50,13
flow=From-Botnet-V43-TCP-CC56-HTTP-Not-Encrypted,1.0,False,,49,2
flow=From-Botnet-V46-UDP-DNS,1.0,False,,49,5
flow=From-Botnet-V50-9-TCP-CC12-HTTP-Not-Encrypted,1.0,False,,49,9
flow=From-Botnet-V50-4-TCP-Established-SSL-To-Microsoft-5,1.0,False,,48,9
flow=From-Botnet-V45-TCP-CC73-Not-Encrypted,1.0,False,,47,4
flow=From-Botnet-V50-2-TCP-Established-SSL-To-Microsoft-3,1.0,False,,47,9
flow=From-Botnet-V54-TCP-CC1-HTTP-Not-Encrypted,1.0,False,,47,13
flow=From-Botnet-V54-TCP-Established-HTTP-Ad-21,1.0,False,,46,13
flow=From-Botnet-V50-2-TCP-Established-HTTP-Ad-21,1.0,False,,44,9
flow=From-Botnet-V42-TCP-Established,1.0,False,,43,1
flow=From-Botnet-V50-4-TCP-Established-HTTP-Ad-yieldmanager-9,1.0,False,,43,9
flow=From-Botnet-V50-3-TCP-Established-HTTP-Ad-25,1.0,False,,43,9
flow=From-Botnet-V50-6-TCP-CC12-HTTP-Not-Encrypted,1.0,False,,42,9
flow=From-Botnet-V50-6-TCP-Established-HTTP-Ad-yieldmanager-9,1.0,False,,41,9
flow=From-Botnet-V50-6-TCP-Established-HTTP-Ad-22,1.0,False,,41,9
flow=From-Botnet-V50-2-TCP-Established-SSL-To-Microsoft-5,1.0,False,,41,9
flow=From-Botnet-V50-9-TCP-Established-HTTP-Ad-2,1.0,False,,41,9
flow=From-Botnet-V50-10-TCP-Established-SSL-To-Microsoft-2,1.0,False,,41,9
flow=From-Botnet-V50-4-TCP-HTTP-Google-Net-Established-6,1.0,False,,40,9
flow=From-Botnet-V50-1-TCP-Established-HTTP-Ad-22,1.0,False,,40,9
flow=From-Botnet-V50-7-TCP-CC1-HTTP-Not-Encrypted,1.0,False,,40,9
flow=From-Botnet-V50-7-TCP-Established-HTTP-Ad-16,1.0,False,,40,9
flow=From-Botnet-V50-5-TCP-CC12-HTTP-Not-Encrypted,1.0,False,,39,9
flow=From-Botnet-V50-6-TCP-Established-HTTP-Ad-41,1.0,False,,39,9
flow=From-Botnet-V50-7-TCP-WEB-Established-SSL,1.0,False,,39,9
flow=From-Botnet-V42-TCP-Established-HTTP-Ad-1,1.0,False,,38,1
flow=From-Botnet-V50-3-TCP-Established-HTTP-Ad-22,1.0,False,,38,9
